row	angle	predicted_obs	measured_obs	error	dchi
223	120.500	0.46920E-01	0.54000E-01	0.70000E-02	0.359E+00
224	136.500	0.49312E-01	0.74000E-01	0.10000E-01	-0.146E+01
225	152.500	0.50915E-01	0.36000E-01	0.10000E-01	0.253E+01
226	168.500	0.51754E-01	0.72000E-01	0.24000E-01	-0.403E+00
227	18.190	0.28931E-01	0.26000E-01	0.32000E-02	0.256E+01
228	31.790	0.30692E-01	0.33800E-01	0.30000E-02	0.821E+00
229	41.410	0.32389E-01	0.34600E-01	0.32000E-02	0.115E+01
230	49.460	0.34031E-01	0.46600E-01	0.35000E-02	-0.183E+01
231	56.630	0.35625E-01	0.39300E-01	0.38000E-02	0.735E+00
232	63.260	0.37177E-01	0.48900E-01	0.37000E-02	-0.134E+01
233	69.510	0.38690E-01	0.48000E-01	0.36000E-02	-0.635E+00
234	75.520	0.40170E-01	0.47300E-01	0.38000E-02	0.427E-01
235	81.370	0.41619E-01	0.59500E-01	0.36000E-02	-0.287E+01
236	87.130	0.43039E-01	0.56400E-01	0.35000E-02	-0.159E+01
237	92.870	0.44432E-01	0.57500E-01	0.34000E-02	-0.147E+01
238	98.630	0.45794E-01	0.58500E-01	0.35000E-02	-0.126E+01
239	104.480	0.47125E-01	0.62500E-01	0.29000E-02	-0.235E+01
240	110.490	0.48423E-01	0.59200E-01	0.30000E-02	-0.662E+00
241	116.740	0.49682E-01	0.60900E-01	0.28000E-02	-0.786E+00
242	123.370	0.50900E-01	0.59100E-01	0.29000E-02	0.359E+00
243	130.540	0.52067E-01	0.62600E-01	0.28000E-02	-0.386E+00
244	138.590	0.53179E-01	0.57700E-01	0.30000E-02	0.171E+01
245	148.210	0.54225E-01	0.63400E-01	0.27000E-02	0.248E+00
246	161.810	0.55197E-01	0.66700E-01	0.30000E-02	-0.494E+00
247	10.000	0.28453E-01	0.17000E-01	0.50000E-02	0.248E+01
248	30.000	0.30577E-01	0.32000E-01	0.40000E-02	-0.106E+00
249	50.000	0.34330E-01	0.38000E-01	0.40000E-02	-0.637E+00
250	70.000	0.39015E-01	0.49000E-01	0.40000E-02	-0.218E+01
251	90.000	0.43967E-01	0.46000E-01	0.40000E-02	-0.149E+00
252	110.000	0.48567E-01	0.54000E-01	0.40000E-02	-0.962E+00
