row	angle	predicted_obs	measured_obs	error	dchi
134	56.500	0.15330E-01	0.19000E-01	0.40000E-02	-0.397E-01
135	72.500	0.17181E-01	0.36000E-01	0.50000E-02	-0.298E+01
136	88.400	0.19154E-01	0.40000E-01	0.50000E-02	-0.329E+01
137	104.500	0.21115E-01	0.35000E-01	0.50000E-02	-0.181E+01
138	120.500	0.22848E-01	0.43000E-01	0.60000E-02	-0.249E+01
139	136.500	0.24218E-01	0.35000E-01	0.70000E-02	-0.748E+00
140	152.500	0.25154E-01	0.35000E-01	0.90000E-02	-0.454E+00
141	168.500	0.25654E-01	0.20000E-01	0.10000E-01	0.115E+01
142	18.190	0.13631E-01	0.11100E-01	0.40000E-02	0.152E+01
143	31.790	0.14482E-01	0.92000E-02	0.48000E-02	0.189E+01
144	41.410	0.15317E-01	0.95000E-02	0.52000E-02	0.189E+01
145	49.460	0.16140E-01	0.17200E-01	0.46000E-02	0.683E+00
146	56.630	0.16953E-01	0.15500E-01	0.57000E-02	0.103E+01
147	63.260	0.17759E-01	0.18500E-01	0.59000E-02	0.658E+00
148	69.510	0.18556E-01	0.26900E-01	0.49000E-02	-0.716E+00
149	75.520	0.19349E-01	0.29500E-01	0.51000E-02	-0.100E+01
150	81.370	0.20136E-01	0.27200E-01	0.52000E-02	-0.350E+00
151	87.130	0.20916E-01	0.25900E-01	0.57000E-02	0.813E-01
152	92.870	0.21690E-01	0.29100E-01	0.53000E-02	-0.332E+00
153	98.630	0.22454E-01	0.27300E-01	0.43000E-02	0.233E+00
154	104.480	0.23207E-01	0.31600E-01	0.41000E-02	-0.573E+00
155	110.490	0.23946E-01	0.25200E-01	0.49000E-02	0.102E+01
156	116.740	0.24669E-01	0.33400E-01	0.38000E-02	-0.607E+00
157	123.370	0.25374E-01	0.33900E-01	0.42000E-02	-0.457E+00
158	130.540	0.26053E-01	0.35500E-01	0.38000E-02	-0.700E+00
159	138.590	0.26706E-01	0.39700E-01	0.34000E-02	-0.178E+01
160	148.210	0.27327E-01	0.42500E-01	0.35000E-02	-0.230E+01
161	161.810	0.27912E-01	0.47300E-01	0.35000E-02	-0.346E+01
162	10.000	0.14701E-01	0.12000E-01	0.30000E-02	0.173E+01
163	30.000	0.15807E-01	0.14000E-01	0.20000E-02	0.224E+01
164	50.000	0.17819E-01	0.23000E-01	0.20000E-02	-0.108E+01
165	70.000	0.20442E-01	0.27000E-01	0.20000E-02	-0.155E+01
166	90.000	0.23343E-01	0.30000E-01	0.30000E-02	-0.902E+00
167	110.000	0.26126E-01	0.35000E-01	0.30000E-02	-0.148E+01
168	130.000	0.28397E-01	0.46000E-01	0.40000E-02	-0.320E+01
169	150.000	0.29908E-01	0.45000E-01	0.40000E-02	-0.251E+01
170	170.000	0.30629E-01	0.47000E-01	0.70000E-02	-0.160E+01
171	10.000	0.16076E-01	0.10000E-01	0.50000E-02	0.159E+01
172	30.000	0.17272E-01	0.18000E-01	0.30000E-02	0.421E+00
173	50.000	0.19445E-01	0.26000E-01	0.30000E-02	-0.144E+01
174	70.000	0.22271E-01	0.31000E-01	0.30000E-02	-0.205E+01
175	90.000	0.25386E-01	0.36000E-01	0.40000E-02	-0.192E+01
176	110.000	0.28367E-01	0.20000E-01	0.30000E-02	0.388E+01
177	130.000	0.30787E-01	0.36000E-01	0.40000E-02	-0.416E+00
178	150.000	0.32387E-01	0.62000E-01	0.50000E-02	-0.518E+01
179	170.000	0.33146E-01	0.51000E-01	0.13000E-01	-0.108E+01
180	5.000	0.16310E-01	0.14000E-01	0.11000E-01	0.316E+00
181	15.000	0.16625E-01	0.90000E-02	0.70000E-02	0.126E+01
182	25.000	0.17238E-01	0.90000E-02	0.60000E-02	0.158E+01
183	35.000	0.18120E-01	0.16000E-01	0.60000E-02	0.569E+00
184	45.000	0.19232E-01	0.28000E-01	0.70000E-02	-0.106E+01
185	55.000	0.20532E-01	0.17000E-01	0.70000E-02	0.714E+00
186	65.000	0.21976E-01	0.31000E-01	0.70000E-02	-0.106E+01
187	75.000	0.23520E-01	0.40000E-01	0.70000E-02	-0.211E+01
188	85.000	0.25112E-01	0.31000E-01	0.60000E-02	-0.682E+00
189	95.000	0.26698E-01	0.43000E-01	0.60000E-02	-0.240E+01
190	105.000	0.28220E-01	0.37000E-01	0.70000E-02	-0.966E+00
191	115.000	0.29622E-01	0.52000E-01	0.70000E-02	-0.289E+01
192	125.000	0.30856E-01	0.61000E-01	0.70000E-02	-0.399E+01
193	135.000	0.31886E-01	0.45000E-01	0.70000E-02	-0.155E+01
