row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact	typed_predicted	legacy_predicted	typed_dchi	legacy_dchi
404	yes	no	yes	yes	no	no	0.70355E-01	0.69761E-01	0.161E+01	0.158E+01
405	yes	no	yes	yes	no	no	0.73895E-01	0.73564E-01	0.699E+00	0.670E+00
406	yes	no	yes	yes	no	no	0.80238E-01	0.80278E-01	-0.320E+00	-0.311E+00
407	yes	no	yes	yes	no	no	0.88465E-01	0.88763E-01	-0.226E+01	-0.222E+01
408	yes	no	yes	yes	no	no	0.97612E-01	0.97886E-01	-0.199E+01	-0.195E+01
409	yes	no	yes	yes	no	no	0.10675E+00	0.10674E+00	-0.801E+00	-0.796E+00
410	yes	no	yes	yes	no	no	0.11494E+00	0.11464E+00	-0.463E+00	-0.493E+00
411	yes	no	yes	yes	no	no	0.12137E+00	0.12102E+00	0.108E+01	0.105E+01
412	yes	no	yes	yes	no	no	0.12563E+00	0.12555E+00	0.791E+00	0.789E+00
413	yes	no	yes	yes	no	no	0.12789E+00	0.12828E+00	-0.780E+00	-0.759E+00
414	yes	no	yes	yes	no	no	0.12877E+00	0.12955E+00	0.111E+01	0.114E+01
415	yes	no	yes	yes	no	no	0.75433E-01	0.74940E-01	0.262E+01	0.251E+01
416	yes	no	yes	yes	no	no	0.80025E-01	0.79850E-01	0.167E+01	0.164E+01
417	yes	no	yes	yes	no	no	0.84412E-01	0.84477E-01	0.216E+01	0.218E+01
418	yes	no	yes	yes	no	no	0.88622E-01	0.88851E-01	0.557E+00	0.607E+00
419	yes	no	yes	yes	no	no	0.92672E-01	0.92993E-01	-0.253E+00	-0.186E+00
420	yes	no	yes	yes	no	no	0.96585E-01	0.96935E-01	0.549E+00	0.621E+00
421	yes	no	yes	yes	no	no	0.10036E+00	0.10068E+00	0.469E+00	0.536E+00
422	yes	no	yes	yes	no	no	0.10401E+00	0.10426E+00	-0.139E+01	-0.134E+01
423	yes	no	yes	yes	no	no	0.10753E+00	0.10768E+00	-0.166E+01	-0.162E+01
424	yes	no	yes	yes	no	no	0.11092E+00	0.11094E+00	-0.272E+01	-0.271E+01
425	yes	no	yes	yes	no	no	0.11417E+00	0.11407E+00	-0.117E+01	-0.119E+01
426	yes	no	yes	yes	no	no	0.11727E+00	0.11705E+00	-0.805E+00	-0.852E+00
427	yes	no	yes	yes	no	no	0.12021E+00	0.11989E+00	-0.164E+01	-0.171E+01
428	yes	no	yes	yes	no	no	0.12296E+00	0.12258E+00	-0.829E+00	-0.912E+00
429	yes	no	yes	yes	no	no	0.12551E+00	0.12510E+00	0.302E+00	0.216E+00
430	yes	no	yes	yes	no	no	0.12782E+00	0.12746E+00	0.552E+00	0.471E+00
431	yes	no	yes	yes	no	no	0.12987E+00	0.12964E+00	0.792E+00	0.742E+00
432	yes	no	yes	yes	no	no	0.13162E+00	0.13160E+00	0.158E+00	0.157E+00
433	yes	no	yes	yes	no	no	0.13305E+00	0.13333E+00	0.442E+00	0.513E+00
434	yes	no	yes	yes	no	no	0.13411E+00	0.13480E+00	0.721E+00	0.893E+00
435	yes	no	yes	yes	no	no	0.74628E-01	0.73941E-01	0.462E+00	0.417E+00
436	yes	no	yes	yes	no	no	0.76104E-01	0.75537E-01	0.269E+01	0.263E+01
437	yes	no	yes	yes	no	no	0.78948E-01	0.78593E-01	0.187E+01	0.183E+01
438	yes	no	yes	yes	no	no	0.82963E-01	0.82868E-01	-0.111E+01	-0.112E+01
439	yes	no	yes	yes	no	no	0.87904E-01	0.88053E-01	-0.187E+01	-0.186E+01
440	yes	no	yes	yes	no	no	0.93510E-01	0.93825E-01	-0.150E+01	-0.147E+01
441	yes	no	yes	yes	no	no	0.99525E-01	0.99884E-01	0.232E-01	0.632E-01
442	yes	no	yes	yes	no	no	0.10570E+00	0.10597E+00	-0.428E-01	-0.133E-01
443	yes	no	yes	yes	no	no	0.11180E+00	0.11187E+00	0.215E+00	0.222E+00
444	yes	no	yes	yes	no	no	0.11756E+00	0.11741E+00	-0.179E+01	-0.181E+01
445	yes	no	yes	yes	no	no	0.12276E+00	0.12242E+00	-0.108E+01	-0.112E+01
446	yes	no	yes	yes	no	no	0.12720E+00	0.12678E+00	-0.131E+01	-0.135E+01
447	yes	no	yes	yes	no	no	0.13073E+00	0.13039E+00	0.257E+00	0.220E+00
448	yes	no	yes	yes	no	no	0.13333E+00	0.13321E+00	-0.573E+00	-0.588E+00
449	yes	no	yes	yes	no	no	0.13508E+00	0.13526E+00	-0.692E+00	-0.675E+00
450	yes	no	yes	yes	no	no	0.13612E+00	0.13664E+00	0.102E+01	0.107E+01
