call_id	energy_index	ne	na	ir	ir0	nnbt	it	nnl	iprk	nfg_nonzero	pg_nonzero	bcoff	kill	solution	selector	formula_title
89	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
90	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
91	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
92	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
93	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
94	1	1	8	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
95	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
96	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
97	1	1	6	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
98	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
99	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
100	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
101	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
102	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
103	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
104	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
105	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
106	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
107	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
108	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
109	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
110	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
111	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
112	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
113	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
114	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
115	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
116	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
117	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
118	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
119	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
120	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
121	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
122	1	1	8	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
123	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
124	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
125	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
126	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
127	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
128	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
129	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
130	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
131	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
132	1	1	1	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
133	1	1	1	2	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
