call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	w_cm	reconstructed_energy	born_reconstructed	opec_reconstructed	raw_real	raw_imag
1	1	1	4	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.2276572053669952E-005	-2.2307071048999205E-005	3.6243833164917305E-005	-2.9566444778583723E-012
1	1	1	5	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.3294629529118538E-002	-2.3091441020369530E-002	-2.3856816813349724E-002	-2.8757449399563484E-007
1	1	1	5	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.0707436488009989E-004	-2.0693993428722024E-004	-2.1110194211360067E-004	-8.0431647453416133E-011
1	1	1	5	2	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-1.9677479565143585E-001	-1.9822204113006592E-001	-1.8047349154949188E-001	-4.4669312046607956E-005
1	1	1	5	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-3.3240278717130423E-003	-3.3253366127610207E-003	-3.6326798144727945E-003	-7.4734892052674695E-008
1	1	1	5	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-6.6335669544059783E-005	-6.6337095631752163E-005	-6.5897853346541524E-005	5.3758048360053046E-012
1	1	1	6	1	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.4766138195991516E-001	-4.5401397347450256E-001	-1.9330404698848724E-001	-1.4030878082849085E-004
1	1	1	6	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.4947903584688902E-003	-2.4474568199366331E-003	-2.5010188110172749E-003	-3.0557128383179588E-008
1	1	1	6	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.9669530704268254E-005	-2.9624470698763616E-005	-1.8650709534995258E-004	-7.1767265741318198E-011
1	1	1	6	2	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.6525321602821350E-001	3.1238603591918945E-001	2.4237926304340363E-001	5.9990477893734351E-005
1	1	1	6	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.4300491893664002E-003	1.4616894768550992E-003	1.5811719931662083E-003	3.2529634097500093E-008
1	1	1	6	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.2644539058092050E-005	2.2675038053421304E-005	2.2495085431728512E-005	-1.8351006478289911E-012
2	1	1	1	1	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-5.2887942641973495E-002	-5.3855326026678085E-002	-5.7153530418872833E-002	-3.2928838322732190E-007
2	1	1	1	1	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-6.1847019242122769E-004	-6.1927695060148835E-004	-4.6354948426596820E-004	-1.5532054808975460E-011
2	1	1	1	2	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-7.8954733908176422E-003	-7.8892288729548454E-003	-8.4277857095003128E-003	7.1273483115419367E-008
2	1	1	1	2	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-1.9805871124844998E-004	-1.9805012561846524E-004	-1.7172898515127599E-004	-1.0897509977736419E-010
