row	field	typed	forced_legacy
678	3	0.29308E+00	0.29309E+00
681	6	-0.760E+00	-0.761E+00
689	3	0.17285E+00	0.17284E+00
692	3	0.21034E+00	0.21033E+00
703	3	0.29206E+00	0.29207E+00
744	6	-0.493E+00	-0.492E+00
745	3	0.30550E+00	0.30551E+00
768	3	0.34632E+00	0.34631E+00
768	6	-0.528E-01	-0.529E-01
769	6	0.791E-01	0.790E-01
790	6	-0.950E+00	-0.949E+00
800	3	0.23387E+00	0.23386E+00
801	6	-0.116E+01	-0.117E+01
807	3	0.38571E+00	0.38572E+00
826	3	0.22504E+00	0.22505E+00
832	3	0.40548E+00	0.40547E+00
850	3	0.35486E+00	0.35487E+00
865	3	0.27417E+00	0.27416E+00
867	3	0.36471E+00	0.36470E+00
870	3	0.44743E+00	0.44744E+00
876	3	0.28625E+00	0.28624E+00
880	3	0.37867E+00	0.37866E+00
880	6	0.215E+00	0.214E+00
886	6	-0.631E-02	-0.621E-02
887	3	0.45471E+00	0.45472E+00
897	3	0.47341E+00	0.47340E+00
901	6	0.667E-01	0.666E-01
906	6	0.561E+00	0.562E+00
952	6	0.184E+01	0.185E+01
983	3	0.61438E+00	0.61439E+00
986	3	0.39223E+00	0.39222E+00
992	3	0.64365E+00	0.64366E+00
1005	3	0.45561E+00	0.45562E+00
1008	6	-0.780E+00	-0.779E+00
1020	3	0.68301E+00	0.68300E+00
1031	3	0.69630E+00	0.69631E+00
1051	3	0.48014E+00	0.48015E+00
1058	3	0.69237E+00	0.69238E+00
1071	3	0.48681E+00	0.48682E+00
1074	3	0.74142E+00	0.74143E+00
1077	6	0.370E-01	0.369E-01
1089	3	0.52730E+00	0.52729E+00
1101	3	0.84531E+00	0.84532E+00
1109	6	0.938E-01	0.939E-01
1111	3	0.73365E+00	0.73366E+00
1121	3	0.87507E+00	0.87506E+00
1141	3	0.56945E+00	0.56946E+00
1142	3	0.67878E+00	0.67879E+00
1150	3	0.58375E+00	0.58376E+00
1174	3	0.97907E+00	0.97906E+00
1175	3	0.97548E+00	0.97547E+00
1177	3	0.95628E+00	0.95627E+00
1187	3	0.54928E+00	0.54927E+00
1245	6	-0.112E+00	-0.111E+00
1255	3	0.88168E+00	0.88167E+00
1272	3	0.64619E+00	0.64618E+00
1281	3	0.66646E+00	0.66647E+00
1282	3	0.76895E+00	0.76896E+00
1282	6	-0.405E+00	-0.404E+00
1303	6	-0.242E+00	-0.243E+00
1315	6	0.370E+00	0.371E+00
1318	3	0.12734E+01	0.12735E+01
1325	6	0.745E+00	0.746E+00
1328	3	0.72983E+00	0.72984E+00
1346	3	0.80529E+00	0.80530E+00
1348	3	0.99833E+00	0.99834E+00
1475	3	0.16731E+01	0.16732E+01
1478	6	0.272E+00	0.271E+00
1485	3	0.16394E+01	0.16395E+01
1496	6	0.897E-02	0.903E-02
1505	3	0.11891E+01	0.11892E+01
1522	3	0.18103E+01	0.18102E+01
