row_id	family	branch	legacy_l	state_index	form_selector	dispatch	field	typed	forced_legacy	metadata_exact	value_exact
10	2	2	6	4	25	T	der	1.0407267936329845E-008	1.0407267936329845E-008	yes	yes
10	2	2	6	4	25	T	dei	2.3699544355801328E-037	2.3699544355801328E-037	yes	yes
11	3	1	5	1	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
11	3	1	5	1	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
11	3	1	5	1	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
11	3	1	5	1	25	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
11	3	1	5	1	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
11	3	1	5	1	25	T	born	3.5966309042123612E-006	3.5966309042123612E-006	yes	yes
11	3	1	5	1	25	T	ter	1.9637384698526685E-024	1.9637384698526685E-024	yes	yes
11	3	1	5	1	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
11	3	1	5	1	25	T	der	3.5966309042123612E-006	3.5966309042123612E-006	yes	yes
11	3	1	5	1	25	T	dei	7.0628425144297858E-030	7.0628425144297858E-030	yes	yes
12	3	1	6	1	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
12	3	1	6	1	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
12	3	1	6	1	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
12	3	1	6	1	25	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
12	3	1	6	1	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
12	3	1	6	1	25	T	born	7.2520919047747157E-008	7.2520919047747157E-008	yes	yes
12	3	1	6	1	25	T	ter	1.8596925492381747E-029	1.8596925492381747E-029	yes	yes
12	3	1	6	1	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
12	3	1	6	1	25	T	der	7.2520919047747157E-008	7.2520919047747157E-008	yes	yes
12	3	1	6	1	25	T	dei	1.3486661424202855E-036	1.3486661424202855E-036	yes	yes
13	3	2	5	2	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
13	3	2	5	2	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
13	3	2	5	2	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
13	3	2	5	2	25	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
13	3	2	5	2	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
13	3	2	5	2	25	T	born	1.4672871202492388E-006	1.4672871202492388E-006	yes	yes
13	3	2	5	2	25	T	ter	2.9041490212974993E-024	2.9041490212974993E-024	yes	yes
13	3	2	5	2	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
13	3	2	5	2	25	T	der	1.4672871202492388E-006	1.4672871202492388E-006	yes	yes
13	3	2	5	2	25	T	dei	4.2612204361940936E-030	4.2612204361940936E-030	yes	yes
14	3	2	6	2	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
14	3	2	6	2	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
14	3	2	6	2	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
14	3	2	6	2	25	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
14	3	2	6	2	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
14	3	2	6	2	25	T	born	3.4559466399741723E-008	3.4559466399741723E-008	yes	yes
14	3	2	6	2	25	T	ter	9.8330926232725406E-030	9.8330926232725406E-030	yes	yes
14	3	2	6	2	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
14	3	2	6	2	25	T	der	3.4559466399741723E-008	3.4559466399741723E-008	yes	yes
14	3	2	6	2	25	T	dei	3.3982642429811418E-037	3.3982642429811418E-037	yes	yes
15	4	1	5	1	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
15	4	1	5	1	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
15	4	1	5	1	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
15	4	1	5	1	25	T	zr	9.7552215576171875E+002	9.7552215576171875E+002	yes	yes
15	4	1	5	1	25	T	zb	-7.7661539257990611E-017	-7.7661539257990611E-017	yes	yes
15	4	1	5	1	25	T	born	4.5938796233713219E-007	4.5938796233713219E-007	yes	yes
15	4	1	5	1	25	T	ter	1.9637384698526685E-024	1.9637384698526685E-024	yes	yes
