point	lab_energy	row	family	branch	legacy_l	state_index	selector	dispatch	dispatch_title	previous_title	formula_title	pre_reset_energy	input_energy	effective_energy	dither_before	hadronic_real	hadronic_imag	born	opec	ter	tei	der	dei	w_cm	final_meson_energy	photon_cm_momentum	meson_cm_momentum
1	 2.0000000000000000E+002	23	6	1	5	1	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.5929455230434542E-006	 2.5374754381024545E-012	-7.6413950882852077E-003	-7.6371114701032639E-003	 1.5929455230434542E-006	 2.5374754381024545E-012	-7.6413950882852077E-003	-1.2172326258053090E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	24	6	1	6	1	3	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 9.4136034078928787E-008	 8.8615926256046043E-015	-1.6021830961108208E-003	-1.6020939219743013E-003	 9.4136034078928787E-008	 8.8615926256046043E-015	-1.6021830961108208E-003	-1.5082315951708836E-010	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	25	6	2	5	2	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.6810497527330881E-006	 2.8259282934539609E-012	 6.0639712028205395E-003	 6.0667516663670540E-003	 1.6810497527330881E-006	 2.8259282934539609E-012	 6.0639712028205395E-003	 1.0193836885719065E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	26	6	2	6	2	3	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 2.5259776492703168E-008	 6.3805631369994917E-016	 1.3369156513363123E-003	 1.3369737425819039E-003	 2.5259776492703168E-008	 6.3805631369994917E-016	 1.3369156513363123E-003	 3.3770191504300939E-011	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
2	 3.0000000000000000E+002	1	1	1	5	3	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 4.7164765419438481E-005	 2.2245150166355643E-009	-2.2962051630020142E-001	-2.3007580637931824E-001	 4.7164765419438481E-005	 2.2245150166355643E-009	-2.2962051630020142E-001	-1.0829997336259112E-005	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	2	1	1	6	3	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 8.0716154116089456E-006	 6.5150974892791425E-011	-7.4963442981243134E-002	-7.4983291327953339E-002	 8.0716154116089456E-006	 6.5150974892791425E-011	-7.4963442981243134E-002	-6.0507608168336446E-007	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	3	1	2	2	4	21	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 4.6590843796730042E-001	 6.8146437406539917E-001	-2.9937019348144531E+000	-2.7606310844421387E+000	 4.6590843796730042E-001	 6.8146437406539917E-001	-1.4936054944992065E+000	-2.1846327781677246E+000	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	4	1	2	5	4	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	-3.0729417630936950E-005	 9.4429708497045795E-010	-8.8641837239265442E-002	-8.8624745607376099E-002	-3.0729417630936950E-005	 9.4429708497045795E-010	-8.8641837239265442E-002	 2.7239120754529722E-006	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	5	1	2	6	4	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 3.3719381463015452E-005	 1.1369967189978070E-009	-3.5044733434915543E-002	-3.5043869167566299E-002	 3.3719381463015452E-005	 1.1369967189978070E-009	-3.4956235438585281E-002	-1.1787026323872851E-006	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	6	2	1	5	3	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 4.7164765419438481E-005	 2.2245150166355643E-009	-4.6600084751844406E-002	-4.6978000551462173E-002	 4.7164765419438481E-005	 2.2245150166355643E-009	-3.8554489612579346E-002	-1.8184134660259588E-006	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	7	2	1	6	3	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 8.0716154116089456E-006	 6.5150974892791425E-011	-1.4503428712487221E-002	-1.4521652832627296E-002	 8.0716154116089456E-006	 6.5150974892791425E-011	-1.4434866607189178E-002	-1.1651268749801602E-007	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	8	2	2	2	4	21	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 4.6590843796730042E-001	 6.8146437406539917E-001	 1.9172668457031250E+001	 1.3941228866577148E+001	 4.6590843796730042E-001	 6.8146437406539917E-001	 3.0451885223388672E+001	 4.4540672302246094E+001	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	9	2	2	5	4	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	-3.0729417630936950E-005	 9.4429708497045795E-010	 3.6244623363018036E-002	 3.6013703793287277E-002	-3.0729417630936950E-005	 9.4429708497045795E-010	 3.6244623363018036E-002	-1.1137761930513079E-006	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
2	 3.0000000000000000E+002	10	2	2	6	4	25	T	[SP00]	[SP00]	[SP00]	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.4995721435546875E+002	 1.0000000474974513E-003	 3.3719381463015452E-005	 1.1369967189978070E-009	 1.2235403060913086E-002	 1.2224227190017700E-002	 3.3719381463015452E-005	 1.1369967189978070E-009	 1.2101971544325352E-002	 4.0807100276651909E-007	 1.2013649902343750E+003	 1.4995721435546875E+002	 2.3429747009277344E+002	 1.9681317138671875E+002
