row_id	family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	epx	epxx	pnmod_input_ll	pnmod_derived_l	pnmod_nfx	pnmod_branch	pnmod_pg1	pnmod_pg2	pnmod_pg3	pnmod_tr_before	pnmod_ti_before	pnmod_tr_after	pnmod_ti_after	pnpwi_ein	pnpwi_postmod_tr	pnpwi_postmod_ti	pnmod_early_return	dispatch_n	dispatch_title	previous_title	effective_e	dither_before	pnpwi_result_tr	pnpwi_result_ti	addresk_nf	addresk_pg1	addresk_pg2	addresk_pg3	addresk_pre_tr	addresk_pre_ti	addresk_post_tr	addresk_post_ti
11	3	1	5	2	5	1	25	4.9957183837890625E+001	4.9957183837890625E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	1.5929455230434542E-006	2.5374754381024545E-012	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.5929455230434542E-006	2.5374754381024545E-012	1.5929455230434542E-006	2.5374754381024545E-012
12	3	1	6	2	5	1	25	4.9957183837890625E+001	4.9957183837890625E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	9.4136034078928787E-008	8.8615926256046043E-015	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	9.4136034078928787E-008	8.8615926256046043E-015	9.4136034078928787E-008	8.8615926256046043E-015
13	3	2	5	2	5	2	25	4.9957183837890625E+001	4.9957183837890625E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	1.6810497527330881E-006	2.8259282934539609E-012	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.6810497527330881E-006	2.8259282934539609E-012	1.6810497527330881E-006	2.8259282934539609E-012
14	3	2	6	2	5	2	25	4.9957183837890625E+001	4.9957183837890625E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	2.5259776492703168E-008	6.3805631369994917E-016	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5259776492703168E-008	6.3805631369994917E-016	2.5259776492703168E-008	6.3805631369994917E-016
15	4	1	5	2	5	1	25	4.9957183837890625E+001	4.9957183837890625E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	1.5929455230434542E-006	2.5374754381024545E-012	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.5929455230434542E-006	2.5374754381024545E-012	1.5929455230434542E-006	2.5374754381024545E-012
16	4	1	6	2	5	1	25	4.9957183837890625E+001	4.9957183837890625E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	9.4136034078928787E-008	8.8615926256046043E-015	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	9.4136034078928787E-008	8.8615926256046043E-015	9.4136034078928787E-008	8.8615926256046043E-015
17	4	2	5	2	5	2	25	4.9957183837890625E+001	4.9957183837890625E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	1.6810497527330881E-006	2.8259282934539609E-012	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.6810497527330881E-006	2.8259282934539609E-012	1.6810497527330881E-006	2.8259282934539609E-012
18	4	2	6	2	5	2	25	4.9957183837890625E+001	4.9957183837890625E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	2.5259776492703168E-008	6.3805631369994917E-016	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5259776492703168E-008	6.3805631369994917E-016	2.5259776492703168E-008	6.3805631369994917E-016
19	5	1	5	0	3	1	3	4.9957183837890625E+001	4.9957183837890625E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	1.5929455230434542E-006	2.5374754381024545E-012	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	1.5929455230434542E-006	2.5374754381024545E-012	1.5929455230434542E-006	2.5374754381024545E-012
20	5	1	6	0	3	1	3	4.9957183837890625E+001	4.9957183837890625E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.9957183837890625E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	4.9957183837890625E+001	1.0000000474974513E-003	9.4136034078928787E-008	8.8615926256046043E-015	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	9.4136034078928787E-008	8.8615926256046043E-015	9.4136034078928787E-008	8.8615926256046043E-015
