point	lab_energy	row	family	branch	legacy_l	state_index	selector	legacy_dispatch	candidate_dispatch	legacy_title	candidate_title	legacy_previous	candidate_previous	legacy_epx	candidate_pre_reset	legacy_input	candidate_input	legacy_effective	candidate_effective	legacy_dither	candidate_dither	legacy_real	candidate_real	legacy_imag	candidate_imag	exact	first_field
2	 3.0000000000000000E+002	2	1	1	6	3	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	8.0716154116089456E-006	 8.0716154116089456E-006	6.5150974892791425E-011	 6.5150974892791425E-011	T	NA
2	 3.0000000000000000E+002	3	1	2	2	4	21	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	4.6590843796730042E-001	 4.6590843796730042E-001	6.8146437406539917E-001	 6.8146437406539917E-001	T	NA
2	 3.0000000000000000E+002	4	1	2	5	4	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	-3.0729417630936950E-005	-3.0729417630936950E-005	9.4429708497045795E-010	 9.4429708497045795E-010	T	NA
2	 3.0000000000000000E+002	5	1	2	6	4	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	3.3719381463015452E-005	 3.3719381463015452E-005	1.1369967189978070E-009	 1.1369967189978070E-009	T	NA
2	 3.0000000000000000E+002	6	2	1	5	3	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	4.7164765419438481E-005	 4.7164765419438481E-005	2.2245150166355643E-009	 2.2245150166355643E-009	T	NA
2	 3.0000000000000000E+002	7	2	1	6	3	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	8.0716154116089456E-006	 8.0716154116089456E-006	6.5150974892791425E-011	 6.5150974892791425E-011	T	NA
2	 3.0000000000000000E+002	8	2	2	2	4	21	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	4.6590843796730042E-001	 4.6590843796730042E-001	6.8146437406539917E-001	 6.8146437406539917E-001	T	NA
2	 3.0000000000000000E+002	9	2	2	5	4	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	-3.0729417630936950E-005	-3.0729417630936950E-005	9.4429708497045795E-010	 9.4429708497045795E-010	T	NA
2	 3.0000000000000000E+002	10	2	2	6	4	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	3.3719381463015452E-005	 3.3719381463015452E-005	1.1369967189978070E-009	 1.1369967189978070E-009	T	NA
2	 3.0000000000000000E+002	11	3	1	5	1	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	1.4616626140195876E-004	 1.4616626140195876E-004	2.1364575886195780E-008	 2.1364575886195780E-008	T	NA
2	 3.0000000000000000E+002	12	3	1	6	1	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	1.1643913239822723E-005	 1.1643913239822723E-005	1.3558071332298027E-010	 1.3558071332298027E-010	T	NA
