file	routine	kind	routine_start_line	routine_end_line	common_line	cm12_stage	referenced_fields	direct_write_fields	call_argument_fields	read_or_control_fields	declaration_only_fields
prsd.f	EKDLT	subroutine	3031	3244	3032	outside-current-cm12-contract	MM,JJ,LL,NN,NE,IE,IT,TITLE,EMR,EMI,TTLI,E,ZKCM,QCM,EPI,NF,PEM,ERMTX,IR0,NMTTL,DER,DEI	NN,NF,DER,DEI	LL,TTLI	MM,JJ,LL,NN,NE,IE,IT,TITLE,EMR,EMI,E,ZKCM,QCM,EPI,NF,PEM,ERMTX,IR0,NMTTL,DER,DEI	MTRN,IR,NA,IA,II,NNBT,NPRM,DTTL,MTTL,ITTL,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,DUM,A,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,THTX,NINC,NINCMX,NNL,NITTL,DPZ,OBSPRD
prsd.f	DLTMAID	subroutine	3450	3595	3451	outside-current-cm12-contract	IR,MM,JJ,LL,NE,IE,TITLE,TTLI,E,EPI,NF,PEM,A,IR0,DER,DEI	TTLI,DER,DEI	IR,LL,TTLI,EPI	MM,JJ,LL,NE,IE,TITLE,E,NF,PEM,A,IR0,DER,DEI	MTRN,NN,NA,IA,II,NNBT,IT,NPRM,DTTL,MTTL,ITTL,EMR,EMI,ZKCM,QCM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DPZ,OBSPRD
prsd.f	EKDLTX	subroutine	3877	3972	3878	outside-current-cm12-contract	MM,JJ,LL,NE,IE,IT,TITLE,TTLI,E,NF,PEM,DER,DEI	DER,DEI		MM,JJ,LL,NE,IE,IT,TITLE,TTLI,E,NF,PEM,DER,DEI	MTRN,IR,NN,NA,IA,II,NNBT,NPRM,DTTL,MTTL,ITTL,EMR,EMI,ZKCM,QCM,EPI,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,A,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,IR0,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DPZ,OBSPRD
prsd.f	EKDXX	subroutine	3973	4029	3974	outside-current-cm12-contract	MM,JJ,LL,NE,IE,TTLI,E,ZKCM,QCM,NF,PEM,DER,DEI	DER,DEI	LL,TTLI	MM,JJ,LL,NE,IE,E,ZKCM,QCM,NF,PEM,DER,DEI	MTRN,IR,NN,NA,IA,II,NNBT,IT,NPRM,TITLE,DTTL,MTTL,ITTL,EMR,EMI,EPI,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,A,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,IR0,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DPZ,OBSPRD
prsd.f	PPRCHP	subroutine	4450	4526	4451	outside-current-cm12-contract	MTRN,MM,JJ,LL,NN,NE,NPRM,NF,PEM	MM,JJ,LL,NN,PEM	MTRN,MM,JJ,LL,PEM	MTRN,MM,JJ,LL,NN,NE,NPRM,NF,PEM	IR,NA,IE,IA,II,NNBT,IT,TITLE,DTTL,MTTL,ITTL,EMR,EMI,TTLI,E,ZKCM,QCM,EPI,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,A,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,IR0,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DER,DEI,DPZ,OBSPRD
prsd.f	PRMOBS	subroutine	4574	4723	4575	outside-current-cm12-contract	MTRN,NE,NA,IE,IA,IT,TITLE,ITTL,OBS,HDAT,NITTL	IT	MTRN,TITLE,ITTL	MTRN,NE,NA,IE,IA,TITLE,ITTL,OBS,HDAT,NITTL	IR,MM,JJ,LL,NN,II,NNBT,NPRM,DTTL,MTTL,EMR,EMI,TTLI,E,ZKCM,QCM,EPI,NF,PEM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,A,OBSX,ERR,TEX,DOBS,XEX,NBT,CIS,CH,IR0,THTX,NINC,NINCMX,NNL,NMTTL,DER,DEI,DPZ,OBSPRD
prsd.f	PRSETC	subroutine	4852	4932	4853	outside-current-cm12-contract	NNBT,MTTL,ITTL,E,NF,PEM,CIS,CH,HDAT,NNL,NMTTL,NITTL	NNBT,MTTL,ITTL,NF,PEM,CIS,CH,HDAT,NMTTL,NITTL		E,NNL	MTRN,IR,MM,JJ,LL,NN,NE,NA,IE,IA,II,IT,NPRM,TITLE,DTTL,EMR,EMI,TTLI,ZKCM,QCM,EPI,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,A,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,IR0,THTX,NINC,NINCMX,DER,DEI,DPZ,OBSPRD
prsd.f	PRDA	subroutine	4970	5005	4971	partial-wave-amplitude-accumulation	IR,MM,JJ,LL,IA,II,BAS,HR,HI,HRX,HIX,A,CIS,CH,DER,DEI	HRX,HIX	BAS	IR,MM,JJ,LL,IA,II,BAS,HR,HI,HRX,HIX,A,CIS,CH,DER,DEI	MTRN,NN,NE,NA,IE,NNBT,IT,NPRM,TITLE,DTTL,MTTL,ITTL,EMR,EMI,TTLI,E,ZKCM,QCM,EPI,NF,PEM,P0,DDP,ETHR,YZ,ERMTX,DUM,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,HDAT,IR0,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DPZ,OBSPRD
prsd.f	PRODO	subroutine	5006	5069	5007	outside-current-cm12-contract	MM,JJ,LL,NE,NA,IE,IA,II,NNBT,NPRM,EMR,EMI,E,PEM,HR,HI,HRX,HIX,P0,DDP,YZ,ERMTX,OBS,DOBS,NBT,DER,DEI,DPZ,OBSPRD	LL,IE,IA,II,EMR,EMI,PEM,HRX,HIX,YZ,OBS,DOBS,DER,DEI	NPRM,YZ,ERMTX,DPZ	MM,JJ,LL,NE,NA,IE,II,NNBT,NPRM,EMR,EMI,E,HR,HI,P0,DDP,YZ,OBS,NBT,DER,DEI,DPZ,OBSPRD	MTRN,IR,NN,IT,TITLE,DTTL,MTTL,ITTL,TTLI,ZKCM,QCM,EPI,NF,BAS,ETHR,DUM,A,OBSX,ERR,TEX,XEX,CIS,CH,HDAT,IR0,THTX,NINC,NINCMX,NNL,NMTTL,NITTL
prsd.f	PRCHI	subroutine	5070	5404	5071	outside-current-cm12-contract	MTRN,IR,MM,NN,NE,NA,IE,IA,II,IT,TITLE,DTTL,MTTL,ITTL,E,HR,HI,HRX,HIX,YZ,DUM,A,OBSX,ERR,OBS,XEX,HDAT,IR0,NMTTL,NITTL,OBSPRD	MTRN,IR,MM,NN,NE,NA,IE,IA,II,IT,E,HRX,HIX,YZ,DUM,A,OBS,XEX,OBSPRD	MTRN,MTTL,XEX	MTRN,IR,MM,NN,NE,NA,II,IT,TITLE,DTTL,MTTL,ITTL,E,HR,HI,YZ,DUM,A,OBSX,ERR,OBS,XEX,HDAT,IR0,NMTTL,NITTL,OBSPRD	JJ,LL,NNBT,NPRM,EMR,EMI,TTLI,ZKCM,QCM,EPI,NF,PEM,BAS,P0,DDP,ETHR,ERMTX,TEX,DOBS,NBT,CIS,CH,THTX,NINC,NINCMX,NNL,DER,DEI,DPZ
prsd.f	PRSHIFT	subroutine	5405	5634	5406	outside-current-cm12-contract	MTRN,IR,JJ,NN,NE,NA,IE,IT,TITLE,E,DUM,A,OBSX,ERR,OBS,XEX,NBT,IR0,THTX	MTRN,IR,JJ,NN,NE,NA,IE,IT,E,DUM,A,OBSX,ERR,XEX,NBT,THTX	MTRN,XEX	MTRN,IR,JJ,NE,NA,TITLE,E,DUM,A,OBSX,ERR,OBS,XEX,NBT,IR0,THTX	MM,LL,IA,II,NNBT,NPRM,DTTL,MTTL,ITTL,EMR,EMI,TTLI,ZKCM,QCM,EPI,NF,PEM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,TEX,DOBS,CIS,CH,HDAT,NINC,NINCMX,NNL,NMTTL,NITTL,DER,DEI,DPZ,OBSPRD
prsd.f	PRSUMRL	subroutine	5733	5816	5734	outside-current-cm12-contract	MTRN,IR,LL,NE,NA,IT,EMR,EMI,E,ZKCM,QCM,A,IR0	MTRN,IR,LL,NE,NA,IT,E,A	MTRN,LL	MTRN,NE,EMR,EMI,ZKCM,QCM,IR0	MM,JJ,NN,IE,IA,II,NNBT,NPRM,TITLE,DTTL,MTTL,ITTL,TTLI,EPI,NF,PEM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DER,DEI,DPZ,OBSPRD
prsd.f	PRCONP	subroutine	5848	6263	5849	outside-current-cm12-contract	MTRN,IR,NE,NA,II,IT,TITLE,MTTL,ITTL,E,A,ERR,OBS,IR0,NMTTL,NITTL	MTRN,IR,NE,NA,II,IT,TITLE,E,A	MTRN,IR,IT,MTTL,ITTL	MTRN,IR,NE,NA,II,IT,TITLE,MTTL,ITTL,E,A,ERR,OBS,IR0,NMTTL,NITTL	MM,JJ,LL,NN,IE,IA,NNBT,NPRM,DTTL,EMR,EMI,TTLI,ZKCM,QCM,EPI,NF,PEM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,OBSX,TEX,DOBS,XEX,NBT,CIS,CH,HDAT,THTX,NINC,NINCMX,NNL,DER,DEI,DPZ,OBSPRD
prsd.f	CONFUN	subroutine	6264	6552	6269	outside-current-cm12-contract	IR,NN,NE,NA,II,IT,TITLE,DTTL,MTTL,ITTL,E,DUM,A,OBSX,ERR,OBS,XEX,IR0	NN,NE,NA,II,E,DUM,A,OBSX,ERR	IR,TITLE,MTTL,XEX	IR,NE,NA,II,IT,DTTL,ITTL,E,DUM,A,OBSX,ERR,OBS,XEX,IR0	MTRN,MM,JJ,LL,IE,IA,NNBT,NPRM,EMR,EMI,TTLI,ZKCM,QCM,EPI,NF,PEM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,TEX,DOBS,NBT,CIS,CH,HDAT,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DER,DEI,DPZ,OBSPRD
prsd.f	PRPTX	subroutine	6553	6845	6557	outside-current-cm12-contract	IR,NN,NE,NA,II,IT,TITLE,DTTL,MTTL,ITTL,E,A,OBSX,ERR,OBS,XEX,IR0	NN,NE,NA,II,E,A,OBSX,ERR,XEX	IR,IT,TITLE,MTTL,ITTL,XEX	IR,NE,NA,II,IT,DTTL,E,A,OBSX,ERR,OBS,XEX,IR0	MTRN,MM,JJ,LL,IE,IA,NNBT,NPRM,EMR,EMI,TTLI,ZKCM,QCM,EPI,NF,PEM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,TEX,DOBS,NBT,CIS,CH,HDAT,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DER,DEI,DPZ,OBSPRD
