source_path	role	evidence	bytes	sha256
said/KCM.100330/kcmD33.dat	cm12_k_matrix_input	opened_not_read_proven	35200	c0eec2d52ecc257349ddcd97d8961a9fdb5ac85c6a79e073becf04c93a76e105
said/KCM.100330/kcmD35.dat	cm12_k_matrix_input	opened_not_read_proven	35200	c8e96428903202fb6dd6cb467d466d617e4cb374758028d6d68e0fb653ee8cef
said/KCM.100330/kcmF15.dat	cm12_k_matrix_input	opened_not_read_proven	35200	daf006f64ad3328382e24ba2576912371a19013aebdb4909c9e3058381b44200
said/KCM.100330/kcmF17.dat	cm12_k_matrix_input	opened_not_read_proven	35200	91d31b2796df105111368de47c3f091d5e413a411b5465d27338e7766bbc4038
said/KCM.100330/kcmF35.dat	cm12_k_matrix_input	opened_not_read_proven	35200	78a83b7abfdde2dba9e2d920e82dbdaa5a1b85317285773fefcd9ebb88747019
said/KCM.100330/kcmF37.dat	cm12_k_matrix_input	opened_not_read_proven	35200	dceb5e07d697ceb4c12219c9a5f17ce206410dbd1150d1fcd7131d50d53b5f97
said/KCM.100330/kcmP11.dat	cm12_k_matrix_input	opened_not_read_proven	35200	ca3adb2d7d6e0196f015b832848fbccfcb4291be67d0083fe7be2968008c6945
said/KCM.100330/kcmP13.dat	cm12_k_matrix_input	opened_not_read_proven	35200	7cdeeb810c9af57a79e939d7eb40096c78119468022ab98f93998293099cf847
said/KCM.100330/kcmP31.dat	cm12_k_matrix_input	opened_not_read_proven	35200	c8bc7d9dd368c4424689d0a464f6ff00daed2e52470a8509bedc384aa7cfe596
said/KCM.100330/kcmP33.dat	cm12_k_matrix_input	opened_not_read_proven	35200	2ca3471b2bb0f5115c77478fcf276b423d3a762a941f2da6acc2b889f857f9ea
said/KCM.100330/kcmS11.dat	cm12_k_matrix_input	opened_not_read_proven	35200	c2e389c965507ab28f71aa30b81d558d2b359a3988b2f03470d683e89a7261f8
said/KCM.100330/kcmS31.dat	cm12_k_matrix_input	opened_not_read_proven	35200	13b9c422a08af1b62415a80819bf0809e2bea50097e1669fd9149d8f0e8a5fc2
pr/NEWDAT.DAT	optional_working_data	opened_not_read_proven	59518	d3ca7be55a06749cf695a64e7226a2abae9cdd2c1711ffb1f85caeec8b44816e
pr/PRMC.DAT	optional_working_data	opened_not_read_proven	255346	98331c6147326da0a84f81912e2c253cfe3df5d2860ea8ccad5fb602af84cf22
pr/PRSEA.DAT	single_energy_input	opened_not_read_proven	155118	eacc1b5f8b2b4f963f3eb0b21a4dd1cfe7363b2299567f705277cfe61fcf0143
pr/PRSOL.USR	solution_catalog	opened_not_read_proven	1344969	ddbb188b030aba3c19ed900b8091389c21520a2e47902117a2aec9821df73934
