sequence	row_id	family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	pre_reset_energy	post_reset_energy	epxx	dispatch	dispatch_branch	dispatch_title	previous_title	effective_energy	dither_before	hadronic_real	hadronic_imag
76	13	3	2	5	2	5	2	25	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	3.2320709664190872E-008	1.0446282637941915E-015
76	14	3	2	6	2	5	2	25	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	3.3294303425357441E-010	1.1085106842429651E-019
76	15	4	1	5	2	5	1	25	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	2.4841325441116169E-008	6.1709145416201719E-016
76	16	4	1	6	2	5	1	25	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	7.5845374425398404E-010	5.7525210704961648E-019
76	17	4	2	5	2	5	2	25	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	3.2320709664190872E-008	1.0446282637941915E-015
76	18	4	2	6	2	5	2	25	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	3.3294303425357441E-010	1.1085106842429651E-019
76	19	5	1	5	0	3	1	3	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	2.4841325441116169E-008	6.1709145416201719E-016
76	20	5	1	6	0	3	1	3	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	7.5845374425398404E-010	5.7525210704961648E-019
76	21	5	2	5	0	3	2	3	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	3.2320709664190872E-008	1.0446282637941915E-015
76	22	5	2	6	0	3	2	3	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	3.3294303425357441E-010	1.1085106842429651E-019
76	23	6	1	5	2	5	1	25	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	2.4841325441116169E-008	6.1709145416201719E-016
76	24	6	1	6	0	3	1	3	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	7.5845374425398404E-010	5.7525210704961648E-019
76	25	6	2	5	2	5	2	25	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	3.2320709664190872E-008	1.0446282637941915E-015
76	26	6	2	6	0	3	2	3	1.9257204055786133E+001	1.9257204055786133E+001	1.9257204055786133E+001	T	7	SP00	SP00	1.9257204055786133E+001	1.0000000474974513E-003	3.3294303425357441E-010	1.1085106842429651E-019
