row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact
299	yes	no	yes	yes	no	no
300	yes	no	yes	yes	no	no
301	yes	no	yes	yes	no	no
302	yes	no	yes	yes	no	no
303	yes	no	yes	yes	no	no
304	yes	no	yes	yes	no	no
305	yes	no	yes	yes	no	no
306	yes	no	yes	yes	no	no
307	yes	no	yes	yes	no	no
308	yes	no	yes	yes	no	no
309	yes	no	yes	yes	no	no
310	yes	no	yes	yes	no	no
311	yes	no	yes	yes	no	no
312	yes	no	yes	yes	no	no
313	yes	no	yes	yes	no	no
314	yes	no	yes	yes	no	no
315	yes	no	yes	yes	no	no
316	yes	no	yes	yes	no	no
317	yes	no	yes	yes	no	no
318	yes	no	yes	yes	yes	no
319	yes	no	yes	yes	no	no
320	yes	no	yes	yes	no	no
321	yes	no	yes	yes	no	no
322	yes	no	yes	yes	no	no
323	yes	no	yes	yes	no	no
324	yes	no	yes	yes	no	no
325	yes	no	yes	yes	no	no
326	yes	no	yes	yes	no	no
327	yes	no	yes	yes	no	no
328	yes	no	yes	yes	no	no
329	yes	no	yes	yes	no	no
330	yes	no	yes	yes	no	no
331	yes	no	yes	yes	no	no
332	yes	no	yes	yes	no	no
333	yes	no	yes	yes	no	no
334	yes	no	yes	yes	no	no
335	yes	no	yes	yes	no	no
336	yes	no	yes	yes	no	no
337	yes	no	yes	yes	no	no
338	yes	no	yes	yes	yes	no
339	yes	no	yes	yes	no	no
340	yes	no	yes	yes	no	no
341	yes	no	yes	yes	no	no
342	yes	no	yes	yes	no	no
343	yes	no	yes	yes	no	no
344	yes	no	yes	yes	no	no
345	yes	no	yes	yes	no	no
346	yes	no	yes	yes	no	no
347	yes	no	yes	yes	no	no
348	yes	no	yes	yes	no	no
349	yes	no	yes	yes	no	no
350	yes	no	yes	yes	no	no
351	yes	no	yes	yes	no	no
352	yes	no	yes	yes	no	no
353	yes	no	yes	yes	no	no
354	yes	no	yes	yes	no	no
355	yes	no	yes	yes	no	no
356	yes	no	yes	yes	no	no
357	yes	no	yes	yes	no	no
358	yes	no	yes	yes	no	no
359	yes	no	yes	yes	no	no
360	yes	no	yes	yes	no	no
361	yes	no	yes	yes	no	no
362	yes	no	yes	yes	no	no
363	yes	no	yes	yes	no	no
364	yes	no	yes	yes	no	no
365	yes	no	yes	yes	no	no
366	yes	no	yes	yes	no	no
367	yes	no	yes	yes	no	no
368	yes	no	yes	yes	no	no
369	yes	no	yes	yes	no	no
370	yes	no	yes	yes	no	no
371	yes	no	yes	yes	no	no
372	yes	no	yes	yes	no	no
373	yes	no	yes	yes	no	no
374	yes	no	yes	yes	no	no
375	yes	no	yes	yes	no	no
376	yes	no	yes	yes	no	no
377	yes	no	yes	yes	no	no
378	yes	no	yes	yes	no	no
379	yes	no	yes	yes	no	no
380	yes	no	yes	yes	no	no
381	yes	no	yes	yes	no	no
382	yes	no	yes	yes	no	no
383	yes	no	yes	yes	no	no
384	yes	no	yes	yes	no	no
385	yes	no	yes	yes	no	no
386	yes	no	yes	yes	no	no
387	yes	no	yes	yes	no	no
388	yes	no	yes	yes	no	no
389	yes	no	yes	yes	no	no
390	yes	no	yes	yes	no	no
391	yes	no	yes	yes	no	no
392	yes	no	yes	yes	no	no
393	yes	no	yes	yes	no	no
394	yes	no	yes	yes	no	no
395	yes	no	yes	yes	no	no
396	yes	no	yes	yes	no	no
397	yes	no	yes	yes	no	no
398	yes	no	yes	yes	no	no
399	yes	no	yes	yes	no	no
400	yes	no	yes	yes	no	no
401	yes	no	yes	yes	no	no
402	yes	no	yes	yes	no	no
403	yes	no	yes	yes	no	no
404	yes	no	yes	yes	no	no
405	yes	no	yes	yes	no	no
406	yes	no	yes	yes	no	no
407	yes	no	yes	yes	no	no
