call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	spw	sopw	opec_original	raw_real	raw_imag
1	1	1	6	2	3	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.4619742287322879E-003	1.5811719931662083E-003	3.2529634097500093E-008
1	1	1	6	2	4	134	1.4510000610351562E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.2681662812829018E-005	2.2495085431728512E-005	-1.8351006478289911E-012
2	1	1	1	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-5.3855326026678085E-002	-5.7153530418872833E-002	-3.2928838322732190E-007
2	1	1	1	1	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-6.1927695060148835E-004	-4.6354948426596820E-004	-1.5532054808975460E-011
2	1	1	1	2	1	135	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.4646565246582031E+002	-2.8030536651611328E+001	-1.6411961615085602E-001
2	1	1	1	2	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-7.8892288729548454E-003	-8.4277857095003128E-003	7.1273483115419367E-008
2	1	1	1	2	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.9805012561846524E-004	-1.7172898515127599E-004	-1.0897509977736419E-010
2	1	1	2	1	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.0248589515686035E+000	-6.9596320390701294E-001	-2.7880273410119116E-004
2	1	1	2	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-5.6229094043374062E-003	-4.6113124117255211E-003	-2.6594623392384165E-008
2	1	1	2	1	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-8.8946755568031222E-005	1.5028737834654748E-005	4.7382491810341043E-013
2	1	1	2	2	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.7129685040563345E-003	3.6195083521306515E-003	-3.0607871792653896E-008
2	1	1	2	2	4	124	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	7.0214337029028684E-005	0.0000000000000000E+000	0.0000000000000000E+000
2	1	1	3	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.7049608528614044E-002	1.8852522596716881E-002	2.1794573967781616E-007
2	1	1	3	1	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	4.3350094347260892E-004	6.3348794355988503E-004	2.1878378275719257E-010
2	1	1	3	2	1	135	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0683096885681152E+001	1.8325906753540039E+001	-2.0024202764034271E-001
2	1	1	3	2	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.5306808948516846E-001	2.3091173171997070E-001	5.6006221711868420E-005
2	1	1	3	2	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	5.2477032877504826E-003	5.6986687704920769E-003	1.1087129792031192E-007
2	1	1	3	2	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.3207612209953368E-004	1.3120156654622406E-004	-1.0210834781865241E-011
2	1	1	4	1	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	5.2762967348098755E-001	1.0711900889873505E-001	7.5795491284225136E-005
2	1	1	4	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	3.9241164922714233E-003	3.6225784569978714E-003	3.9866684176104172E-008
2	1	1	4	1	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	5.8920788433169946E-005	5.8119527238886803E-005	2.2275230271429081E-011
2	1	1	4	2	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.9404777288436890E-001	-2.1717390418052673E-001	-5.2664112445199862E-005
2	1	1	4	2	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.5403008330613375E-003	-2.9280965682119131E-003	-5.6969259532024807E-008
2	1	1	4	2	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.4446995161706582E-005	4.8346599214710295E-005	-3.7625258811346818E-012
2	1	1	5	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.6535061895847321E-002	-3.7760674953460693E-002	-4.3178008013455837E-007
2	1	1	5	1	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.1190165211446583E-004	-4.2048894101753831E-004	-1.5253116825153512E-010
2	1	1	5	2	1	135	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.8075386047363281E+001	-2.4118820190429688E+001	2.6447904109954834E-001
2	1	1	5	2	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.4914833903312683E-001	-2.2727604210376740E-001	-5.5128079111455008E-005
2	1	1	5	2	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-5.2594882436096668E-003	-5.7456335052847862E-003	-1.1178710934700575E-007
2	1	1	5	2	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.3203341222833842E-004	-1.3115914771333337E-004	1.0207532735728719E-011
2	1	1	6	1	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-5.7125735282897949E-001	-2.4429947137832642E-001	-1.7288835078943521E-004
2	1	1	6	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.8749088998883963E-003	-3.9623039774596691E-003	-4.5864847919574459E-008
