call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	w_cm	reconstructed_energy	born_argument	opec_original	raw_real	raw_imag	return_real	return_imag
77	1	1	4	2	4	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-1.2010537087917328E-002	-1.2040412053465843E-002	-8.0216592177748680E-003	2.8112816519154649E-009	4.0187528356909752E-003	2.8112816519154649E-009
77	1	1	5	1	3	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-1.4206554889678955E+000	-1.4032137393951416E+000	-1.5328571796417236E+000	-9.9398617749102414E-005	-1.2964344024658203E-001	-9.9398617749102414E-005
77	1	1	5	1	4	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-9.9363073706626892E-002	-9.9248588085174561E-002	-1.0248583555221558E-001	-1.6649451595185383E-007	-3.2372474670410156E-003	-1.6649451595185383E-007
77	1	1	5	2	1	135	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-1.9116872787475586E+001	-3.5824829101562500E+001	-2.0449071884155273E+001	-1.5830370187759399E+000	1.5375757217407227E+001	-1.5830370187759399E+000
77	1	1	5	2	2	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-1.4026306867599487E+000	-1.4184632301330566E+000	-1.3608684539794922E+000	3.1474223360419273E-003	5.7594776153564453E-002	3.1474223360419273E-003
77	1	1	5	2	3	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-1.9366846978664398E-001	-1.9381141662597656E-001	-2.1183550357818604E-001	-2.8539114282466471E-005	-1.8024086952209473E-002	-2.8539114282466471E-005
77	1	1	5	2	4	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-3.1641196459531784E-002	-3.1642749905586243E-002	-3.1432364135980606E-002	1.1015827361404718E-008	2.1038576960563660E-004	1.1015827361404718E-008
77	1	1	6	1	2	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-1.9409215450286865E+000	-3.6589713096618652E+000	-1.7467955350875854E+000	8.6985277011990547E-003	1.9121757745742798E+000	8.6985277011990547E-003
77	1	1	6	1	3	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-1.6458123922348022E-001	-1.5982131659984589E-001	-1.7871132493019104E-001	-1.1545686902536545E-005	-1.8890008330345154E-002	-1.1545686902536545E-005
77	1	1	6	1	4	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	-1.6018161550164223E-002	-1.5972983092069626E-002	-2.8374072164297104E-002	-4.6098506345515489E-008	-1.2401089072227478E-002	-4.6098506345515489E-008
77	1	1	6	2	2	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	2.1089990139007568E+000	2.5735287666320801E+000	1.9730933904647827E+000	-4.5633791014552116E-003	-6.0043537616729736E-001	-4.5633791014552116E-003
