call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	spw	sopw	opec_original	storage_real	storage_imag	return_real	return_imag
2	1	1	1	2	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.9805012561846524E-004	-1.7172898515127599E-004	-1.0897509977736419E-010	2.6321140467189252E-005	-1.0897509977736419E-010
2	1	1	2	1	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.0248589515686035E+000	-6.9596320390701294E-001	-2.7880273410119116E-004	3.2889574766159058E-001	-2.7880273410119116E-004
2	1	1	2	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-5.6229094043374062E-003	-4.6113124117255211E-003	-2.6594623392384165E-008	1.0115969926118851E-003	-2.6594623392384165E-008
2	1	1	2	1	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-8.8946755568031222E-005	1.5028737834654748E-005	4.7382491810341043E-013	1.0397549340268597E-004	4.7382491810341043E-013
2	1	1	2	2	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.7129685040563345E-003	3.6195083521306515E-003	-3.0607871792653896E-008	9.0653984807431698E-004	-3.0607871792653896E-008
2	1	1	2	2	4	124	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	7.0214337029028684E-005	0.0000000000000000E+000	0.0000000000000000E+000	-7.0214337029028684E-005	0.0000000000000000E+000
2	1	1	3	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.7049608528614044E-002	1.8852522596716881E-002	2.1794573967781616E-007	-8.1970859318971634E-003	2.1794573967781616E-007
2	1	1	3	1	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	4.3350094347260892E-004	6.3348794355988503E-004	2.1878378275719257E-010	1.9998700008727610E-004	2.1878378275719257E-010
2	1	1	3	2	1	135	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0683096885681152E+001	1.8325906753540039E+001	-2.0024202764034271E-001	7.6428098678588867E+000	-2.0024202764034271E-001
2	1	1	3	2	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.5306808948516846E-001	2.3091173171997070E-001	5.6006221711868420E-005	-2.2156357765197754E-002	5.6006221711868420E-005
2	1	1	3	2	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	5.2477032877504826E-003	5.6986687704920769E-003	1.1087129792031192E-007	4.5096548274159431E-004	1.1087129792031192E-007
2	1	1	3	2	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.3207612209953368E-004	1.3120156654622406E-004	-1.0210834781865241E-011	-8.7455555330961943E-007	-1.0210834781865241E-011
2	1	1	4	1	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	5.2762967348098755E-001	1.0711900889873505E-001	7.5795491284225136E-005	-4.2051064968109131E-001	7.5795491284225136E-005
2	1	1	4	1	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	3.9241164922714233E-003	3.6225784569978714E-003	3.9866684176104172E-008	-3.0153803527355194E-004	3.9866684176104172E-008
2	1	1	4	1	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	5.8920788433169946E-005	5.8119527238886803E-005	2.2275230271429081E-011	-8.0126119428314269E-007	2.2275230271429081E-011
2	1	1	4	2	2	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.9404777288436890E-001	-2.1717390418052673E-001	-5.2664112445199862E-005	7.6873868703842163E-002	-5.2664112445199862E-005
2	1	1	4	2	3	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.5403008330613375E-003	-2.9280965682119131E-003	-5.6969259532024807E-008	-3.8779573515057564E-004	-5.6969259532024807E-008
2	1	1	4	2	4	134	1.4530000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.4446995161706582E-005	4.8346599214710295E-005	-3.7625258811346818E-012	9.2793590738438070E-005	-3.7625258811346818E-012
3	1	1	1	1	3	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.3435915112495422E-001	-1.4256185293197632E-001	-6.4361267959611723E-007	-8.2027018070220947E-003	-6.4361267959611723E-007
3	1	1	1	1	4	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.4422900751233101E-003	-2.0537509117275476E-003	-5.5709836049855355E-011	3.8853916339576244E-004	-5.5709836049855355E-011
3	1	1	1	2	1	135	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.4630604553222656E+002	-2.7891868591308594E+001	-9.6274897456169128E-002	1.1841417694091797E+002	-9.6274897456169128E-002
3	1	1	1	2	3	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.9657066091895103E-002	-2.1012634038925171E-002	1.3918419483616162E-007	-1.3555679470300674E-003	1.3918419483616162E-007
3	1	1	1	2	4	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-7.8088260488584638E-004	-7.2979321703314781E-004	-3.7731276436581140E-010	5.1089387852698565E-005	-3.7731276436581140E-010
3	1	1	2	1	2	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.6216484308242798E+000	-1.1158452033996582E+000	-4.0466070640832186E-004	5.0580322742462158E-001	-4.0466070640832186E-004
3	1	1	2	1	3	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.4065407216548920E-002	-1.1527679860591888E-002	-5.2096385871891471E-008	2.5377273559570312E-003	-5.2096385871891471E-008
3	1	1	2	1	4	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.5226624459028244E-004	-9.2305032012518495E-005	-2.5469680618034340E-012	2.5996120530180633E-004	-2.5469680618034340E-012
3	1	1	2	2	3	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	6.7713558673858643E-003	9.0477243065834045E-003	-5.9926286155587150E-008	2.2763684391975403E-003	-5.9926286155587150E-008
3	1	1	2	2	4	124	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	2.7818657690659165E-004	0.0000000000000000E+000	0.0000000000000000E+000	-2.7818657690659165E-004	0.0000000000000000E+000
3	1	1	3	1	3	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	6.7417077720165253E-002	4.7081995755434036E-002	4.3073583810837590E-007	-2.0335081964731216E-002	4.3073583810837590E-007
3	1	1	3	1	4	134	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.7101839184761047E-003	2.2198241204023361E-003	6.3228461355535615E-010	5.0964020192623138E-004	6.3228461355535615E-010
3	1	1	3	2	1	135	1.4611999511718750E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0621115684509277E+001	1.8232406616210938E+001	-1.0715980082750320E-001	7.6112909317016602E+000	-1.0715980082750320E-001
