call_id	energy_index	reaction	family	branch	legacy_l	selector	typed_request_energy	typed_w_cm	typed_reconstructed_energy	typed_born_argument	typed_opec_original	typed_raw_real	typed_raw_imag	typed_return_real	typed_return_imag	forced_request_energy	forced_w_cm	forced_reconstructed_energy	forced_born_reconstructed	forced_opec_reconstructed	forced_opec_original	forced_raw_real	forced_raw_imag	forced_return_real	forced_return_imag	return_evaluated	request_exact	w_exact	reconstructed_energy_exact	typed_roundtrip_exact	forced_roundtrip_exact	born_exact	original_opec_exact	raw_real_exact	raw_imag_exact	return_real_exact	return_imag_exact
1	1	1	3	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.7307594418525696E-002	1.7104366794228554E-002	1.1916444636881351E-002	1.4529490499626263E-007	-5.1879221573472023E-003	1.4529490499626263E-007	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.7304234206676483E-002	1.7101045697927475E-002	1.7104366794228554E-002	1.1912978254258633E-002	1.4525441827117902E-007	-5.1913885399699211E-003	1.4525441827117902E-007	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	3	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.1797086810693145E-004	2.1783639385830611E-004	3.4321844577789307E-004	1.2335100996185844E-010	1.2538205191958696E-004	1.2335100996185844E-010	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.1790726168546826E-004	2.1777283109258860E-004	2.1783639385830611E-004	3.4315345692448318E-004	1.2332651566637765E-010	1.2531706306617707E-004	1.2332651566637765E-010	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	3	2	1	135	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.7116769790649414E+001	1.0698340415954590E+001	1.8348823547363281E+001	-2.2353595495223999E-001	7.6504831314086914E+000	-2.2353595495223999E-001	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.7116773605346680E+001	1.0698346138000488E+001	1.0698340415954590E+001	1.8348829269409180E+001	-2.2353601455688477E-001	7.6504888534545898E+000	-2.2353601455688477E-001	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	3	2	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.9991031289100647E-001	2.0135767757892609E-001	1.8337062001228333E-001	4.5383894757833332E-005	-1.7987057566642761E-002	4.5383894757833332E-005	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.9989088177680969E-001	2.0133812725543976E-001	2.0135767757892609E-001	1.8335294723510742E-001	4.5379518269328400E-005	-1.8004730343818665E-002	4.5379518269328400E-005	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	3	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	3.3172315452247858E-003	3.3185405191034079E-003	3.6037196405231953E-003	7.4137716410405119E-008	2.8517912141978741E-004	7.4137716410405119E-008	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	3.3165866043418646E-003	3.3178953453898430E-003	3.3185405191034079E-003	3.6030064802616835E-003	7.4123043702911673E-008	2.8446596115827560E-004	7.4123043702911673E-008	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	3	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	6.6376458562444896E-005	6.6377884650137275E-005	6.5938373154494911E-005	-5.3791103515887784E-012	-4.3951149564236403E-007	-5.3791103515887784E-012	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	6.6357097239233553E-005	6.6358523326925933E-005	6.6377884650137275E-005	6.5919135522563010E-005	-5.3775412942047573E-012	-4.5874912757426500E-007	-5.3775412942047573E-012	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	4	1	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.0801189392805099E-001	4.1939717531204224E-001	8.4733217954635620E-002	6.1495455156546086E-005	-3.3466395735740662E-001	6.1495455156546086E-005	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.0800140351057053E-001	4.1935637593269348E-001	4.1939717531204224E-001	8.4725171327590942E-002	6.1489619838539511E-005	-3.3467200398445129E-001	6.1489619838539511E-005	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	4	1	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.5263263378292322E-003	2.4789834860712290E-003	2.2882909979671240E-003	2.6549127341013445E-008	-1.9069248810410500E-004	2.6549127341013445E-008	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.5258343666791916E-003	2.4785008281469345E-003	2.4789834860712290E-003	2.2877834271639585E-003	2.6543201414597206E-008	-1.9120005890727043E-004	2.6543201414597206E-008	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	4	1	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.9625216484419070E-005	2.9580143745988607E-005	2.8844411644968204E-005	1.1781797759624624E-011	-7.3573210102040321E-007	1.1781797759624624E-011	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.9616569008794613E-005	2.9571509003289975E-005	2.9580143745988607E-005	2.8835573175456375E-005	1.1778466223189010E-011	-7.4457057053223252E-007	1.1778466223189010E-011	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	4	2	2	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-1.8657563626766205E-001	-2.3371306061744690E-001	-1.7209988832473755E-001	-4.2587675125105307E-005	6.1613172292709351E-002	-4.2587675125105307E-005	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-1.8655748665332794E-001	-2.3369030654430389E-001	-2.3371306061744690E-001	-1.7208337783813477E-001	-4.2583586036926135E-005	6.1629682779312134E-002	-4.2583586036926135E-005	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	4	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-1.5732033643871546E-003	-1.6048498218879104E-003	-1.8497388809919357E-003	-3.8054658091368765E-008	-2.4488905910402536E-004	-3.8054658091368765E-008	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-1.5728970756754279E-003	-1.6045373631641269E-003	-1.6048498218879104E-003	-1.8494001124054193E-003	-3.8047691219844637E-008	-2.4455029051750898E-004	-3.8047691219844637E-008	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
1	1	1	4	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.2283074940787628E-005	-2.2313583031063899E-005	3.6237372114555910E-005	-2.9561177724429788E-012	5.8550955145619810E-005	-2.9561177724429788E-012	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	-2.2276572053669952E-005	-2.2307071048999205E-005	-2.2313583031063899E-005	3.6243833164917305E-005	-2.9566444778583723E-012	5.8557416195981205E-005	-2.9566444778583723E-012	yes	yes	yes	yes	no	no	no	yes	no	no	no	no
