boundary	row	category	field	typed	forced_legacy
full_grid	172	value	multipole_imag	6.3224736557287997E-010	6.3228461355535615E-010
full_grid	173	value	multipole_real	2.0809238776564598E-009	5.6207187299150974E-005
full_grid	174	value	multipole_real	4.7748471843078732E-012	2.2568926851818105E-006
full_grid	175	value	multipole_real	7.6112985610961914E+000	1.8232406616210938E+001
full_grid	175	value	multipole_imag	-1.0715983062982559E-001	-1.0715980082750320E-001
full_grid	176	value	multipole_real	-3.2918870449066162E-002	3.6564639210700989E-001
full_grid	176	value	multipole_imag	8.0257290392182767E-005	8.0259182141162455E-005
full_grid	177	value	multipole_real	1.1238185688853264E-003	1.4199721626937389E-002
full_grid	177	value	multipole_imag	2.1607492328712397E-007	2.1608553879559622E-007
full_grid	178	value	multipole_real	-3.4485710784792900E-006	5.1734695443883538E-004
full_grid	178	value	multipole_imag	-3.2770629959655295E-011	-3.2773003061370432E-011
full_grid	179	value	multipole_real	-2.7284841053187847E-011	2.2923866708879359E-005
full_grid	180	value	multipole_real	-1.1368683772161603E-013	1.0752987691375893E-006
full_grid	182	value	multipole_real	-6.6282427310943604E-001	1.7154277861118317E-001
full_grid	182	value	multipole_imag	1.0772349196486175E-004	1.0772586392704397E-004
full_grid	183	value	multipole_real	-7.5040478259325027E-004	9.0685253962874413E-003
full_grid	183	value	multipole_imag	7.9135467956348293E-008	7.9139887532164721E-008
full_grid	184	value	multipole_real	8.9703826233744621E-007	2.3425387917086482E-004
full_grid	184	value	multipole_imag	7.1416428326642745E-011	7.1421528413662116E-011
full_grid	185	value	multipole_real	8.2218321040272713E-010	7.2173729677160736E-006
full_grid	186	value	multipole_real	2.0179413695586845E-012	2.6004309461313824E-007
full_grid	188	value	multipole_real	1.1891636252403259E-001	-3.4621921181678772E-001
full_grid	188	value	multipole_imag	-7.5973301136400551E-005	-7.5975083746016026E-005
full_grid	189	value	multipole_real	-9.7152497619390488E-004	-7.3268301784992218E-003
full_grid	189	value	multipole_imag	-1.1149429468559902E-007	-1.1149938927701442E-007
full_grid	190	value	multipole_real	2.3293048434425145E-004	5.6889788538683206E-005
full_grid	190	value	multipole_imag	-3.6045118712718649E-012	-3.6037078269407496E-012
full_grid	191	value	multipole_real	5.5933924159035087E-010	-5.7664024097903166E-006
full_grid	192	value	multipole_real	1.3784529073745944E-012	-2.1674111394531792E-007
full_grid	195	value	multipole_real	-3.2088533043861389E-003	-9.4375118613243103E-002
full_grid	195	value	multipole_imag	-8.5606836819351884E-007	-8.5610884070774773E-007
full_grid	196	value	multipole_real	-3.6240089684724808E-005	-1.6607636353000998E-003
full_grid	196	value	multipole_imag	-4.8922804696260869E-010	-4.8926346307709423E-010
full_grid	197	value	multipole_real	-2.0809238776564598E-009	-5.6647826568223536E-005
full_grid	198	value	multipole_real	-4.7748471843078732E-012	-2.2542574242834235E-006
full_grid	199	value	multipole_real	1.4008556365966797E+001	-2.3980726242065430E+001
full_grid	199	value	multipole_imag	1.4171382784843445E-001	1.4171372354030609E-001
full_grid	200	value	multipole_real	3.2527923583984375E-002	-3.5984423756599426E-001
full_grid	200	value	multipole_imag	-7.8990960901137441E-005	-7.8992823546286672E-005
full_grid	201	value	multipole_real	-1.2116562575101852E-003	-1.4317085966467857E-002
full_grid	201	value	multipole_imag	-2.1786487991448666E-007	-2.1787555226637778E-007
full_grid	202	value	multipole_real	3.4474651329219341E-006	-5.1717832684516907E-004
full_grid	202	value	multipole_imag	3.2759947532490230E-011	3.2762320634205366E-011
full_grid	203	value	multipole_real	2.7284841053187847E-011	-2.2924947188585065E-005
full_grid	204	value	multipole_real	1.1368683772161603E-013	-1.0752914931799751E-006
full_grid	206	value	multipole_real	5.1232385635375977E-001	-3.9118090271949768E-001
full_grid	206	value	multipole_imag	-2.4570123059675097E-004	-2.4570690584369004E-004
full_grid	207	value	multipole_real	-2.4537649005651474E-004	-9.9406009539961815E-003
full_grid	207	value	multipole_imag	-9.0709107780639897E-008	-9.0713498934746895E-008
full_grid	208	value	multipole_real	-6.2824960332363844E-004	-8.6202804232016206E-004
full_grid	208	value	multipole_imag	-2.5706287098969938E-010	-2.5706800577118827E-010
full_grid	209	value	multipole_real	-8.2263795775361359E-010	-7.2154871304519475E-006
full_grid	210	value	multipole_real	-2.0179413695586845E-012	-2.6005290010289173E-007
full_grid	212	value	multipole_real	-1.3834497332572937E-001	4.8389357328414917E-001
full_grid	212	value	multipole_imag	1.0621784167597070E-004	1.0622041008900851E-004
full_grid	213	value	multipole_real	4.7133862972259521E-004	6.2569146975874901E-003
full_grid	213	value	multipole_imag	9.5212030259972380E-008	9.5216655893182178E-008
