boundary	call_id	energy_index	energy_mev	angle_rows	difference_fields
final	110	1	1.8825999450683594E+002	9	48
final	111	1	1.8903999328613281E+002	9	48
final	112	1	1.8957000732421875E+002	20	148
final	113	1	1.8982000732421875E+002	9	67
final	114	1	1.9061000061035156E+002	9	59
final	115	1	1.9138999938964844E+002	9	54
final	116	1	1.9194000244140625E+002	20	142
final	117	1	1.9216000366210938E+002	9	72
final	118	1	1.9269000244140625E+002	9	63
final	119	1	1.9344999694824219E+002	9	58
final	120	1	1.9422999572753906E+002	9	60
final	121	1	1.9435000610351562E+002	20	108
final	122	1	1.9500000000000000E+002	8	40
final	123	1	1.9500000000000000E+002	9	40
final	124	1	1.9577000427246094E+002	9	60
final	125	1	1.9655000305175781E+002	9	0
final	126	1	1.9675000000000000E+002	20	102
final	127	1	1.9732000732421875E+002	9	58
final	128	1	1.9807000732421875E+002	9	35
final	129	1	1.9883000183105469E+002	9	62
final	130	1	1.9916000366210938E+002	20	144
final	131	1	1.9958999633789062E+002	9	58
final	132	1	2.0000000000000000E+002	1	1
final	133	1	1.0000000000000000E+003	1	0
