boundary	row	category	field	typed	forced_legacy
final	20	value	dsg	1.6105714021250606E-003	1.6106213442981243E-003
final	21	value	a1_real	1.3611990213394165E+000	1.3611721992492676E+000
final	21	value	a1_imag	-2.1831935737282038E-004	-2.1832481434103101E-004
final	21	value	a2_real	-7.4719947576522827E-001	-7.4723511934280396E-001
final	21	value	a2_imag	2.1930712461471558E-001	2.1930703520774841E-001
final	21	value	a3_real	-6.9226402044296265E-001	-6.9225251674652100E-001
final	21	value	a3_imag	1.0250055493088439E-004	1.0250314517179504E-004
final	21	value	a4_real	2.3291008174419403E-001	2.3292125761508942E-001
final	21	value	a4_imag	-1.0235760360956192E-001	-1.0235757380723953E-001
final	21	value	dsg	1.9759687129408121E-003	1.9759484566748142E-003
final	22	value	a1_real	1.5101706981658936E+000	1.5101416110992432E+000
final	22	value	a1_imag	-2.4092799867503345E-004	-2.4093399406410754E-004
final	22	value	a2_real	-2.5614863634109497E-001	-2.5617101788520813E-001
final	22	value	a2_imag	1.9830459356307983E-001	1.9830451905727386E-001
final	22	value	a3_real	-1.1566300392150879E+000	-1.1566113233566284E+000
final	22	value	a3_imag	1.6985781257972121E-004	1.6986209084279835E-004
final	22	value	a4_real	-1.2963251210749149E-002	-1.2959908694028854E-002
final	22	value	a4_imag	-1.3898129761219025E-001	-1.3898122310638428E-001
final	22	value	dsg	2.4625950027257204E-003	2.4625163059681654E-003
final	23	value	a1_real	1.3884484767913818E+000	1.3884220123291016E+000
final	23	value	a1_imag	-2.2014268324710429E-004	-2.2014815476723015E-004
final	23	value	a2_real	1.9068714976310730E-001	1.9068519771099091E-001
final	23	value	a2_imag	1.7126512527465820E-001	1.7126505076885223E-001
final	23	value	a3_real	-1.5237002372741699E+000	-1.5236761569976807E+000
final	23	value	a3_imag	2.2165992413647473E-004	2.2166549752000719E-004
final	23	value	a4_real	-4.7878807783126831E-001	-4.7879546880722046E-001
final	23	value	a4_imag	-1.7142239212989807E-001	-1.7142234742641449E-001
final	23	value	dsg	3.0093118548393250E-003	3.0092194210737944E-003
final	24	value	a1_real	1.0593540668487549E+000	1.0593345165252686E+000
final	24	value	a1_imag	-1.6690291522536427E-004	-1.6690706252120435E-004
final	24	value	a2_real	4.8952710628509521E-001	4.8953261971473694E-001
final	24	value	a2_imag	1.3899180293083191E-001	1.3899175822734833E-001
final	24	value	a3_real	-1.6657176017761230E+000	-1.6656917333602905E+000
final	24	value	a3_imag	2.4001102428883314E-004	2.4001703422982246E-004
final	24	value	a4_real	-1.0933258533477783E+000	-1.0933429002761841E+000
final	24	value	a4_imag	-1.9868385791778564E-001	-1.9868379831314087E-001
final	24	value	dsg	3.5467713605612516E-003	3.5467159468680620E-003
final	25	value	a1_real	6.3691025972366333E-001	6.3689857721328735E-001
final	25	value	a1_imag	-9.9776312708854675E-005	-9.9778757430613041E-005
final	25	value	a2_real	5.7847356796264648E-001	5.7847607135772705E-001
final	25	value	a2_imag	1.0245517641305923E-001	1.0245512425899506E-001
final	25	value	a3_real	-1.5080953836441040E+000	-1.5080729722976685E+000
final	25	value	a3_imag	2.1545543859247118E-004	2.1546080824919045E-004
final	25	value	a4_real	-1.7367962598800659E+000	-1.7368241548538208E+000
final	25	value	a4_imag	-2.1991840004920959E-001	-2.1991831064224243E-001
final	25	value	dsg	4.0068905800580978E-003	4.0069017559289932E-003
final	26	value	a1_real	2.5478893518447876E-001	2.5478428602218628E-001
final	26	value	a1_imag	-3.9743008528603241E-005	-3.9743979868944734E-005
final	26	value	a2_real	4.5367899537086487E-001	4.5368447899818420E-001
final	26	value	a2_imag	6.2765896320343018E-002	6.2765873968601227E-002
final	26	value	a3_real	-1.0521060228347778E+000	-1.0520906448364258E+000
final	26	value	a3_imag	1.4935295621398836E-004	1.4935666695237160E-004
final	26	value	a4_real	-2.2704012393951416E+000	-2.2704334259033203E+000
final	26	value	a4_imag	-2.3445963859558105E-001	-2.3445957899093628E-001
final	26	value	dsg	4.3367482721805573E-003	4.3368251062929630E-003
final	27	value	a1_real	2.9813962057232857E-002	2.9813427478075027E-002
final	27	value	a1_imag	-4.6397435653489083E-006	-4.6398572521866299E-006
final	27	value	a2_real	1.7065647244453430E-001	1.7065779864788055E-001
final	27	value	a2_imag	2.1140918135643005E-002	2.1140910685062408E-002
final	27	value	a3_real	-3.7744697928428650E-001	-3.7744137644767761E-001
