call_id	energy_index	angle_index	reaction	energy_mev	angle_cm_deg	a1_real	a1_imag	a2_real	a2_imag	a3_real	a3_imag	a4_real	a4_imag	dsg
70	1	12	1	1.6669999694824219E+002	1.1500000000000000E+002	5.1234192848205566E+000	1.4973527193069458E-001	2.5804679393768311E+000	-1.3403145074844360E+000	-1.0068780899047852E+001	-2.3493063449859619E-001	-4.3061676025390625E+000	2.1688978672027588E+000	3.8273295760154724E-001
70	1	13	1	1.6669999694824219E+002	1.2500000000000000E+002	3.9724633693695068E+000	1.1632833629846573E-001	2.9044013023376465E+000	-1.1456750631332397E+000	-9.6084785461425781E+000	-2.2336283326148987E-001	-6.2640242576599121E+000	2.2691588401794434E+000	3.8967674970626831E-001
70	1	14	1	1.6669999694824219E+002	1.3500000000000000E+002	2.8362846374511719E+000	8.3236791193485260E-002	2.9070782661437988E+000	-9.4498151540756226E-001	-8.6660118103027344E+000	-2.0085921883583069E-001	-8.1271295547485352E+000	2.3525133132934570E+000	3.9404225349426270E-001
70	1	15	1	1.6669999694824219E+002	1.4500000000000000E+002	1.8042896986007690E+000	5.3062744438648224E-002	2.6114473342895508E+000	-7.3957473039627075E-001	-7.2739896774291992E+000	-1.6821537911891937E-001	-9.7793302536010742E+000	2.4190030097961426E+000	3.9627707004547119E-001
70	1	16	1	1.6669999694824219E+002	1.5500000000000000E+002	9.5525491237640381E-001	2.8144795447587967E-002	2.0614368915557861E+000	-5.3066408634185791E-001	-5.4959793090820312E+000	-1.2689277529716492E-001	-1.1117518424987793E+001	2.4687254428863525E+000	3.9701926708221436E-001
70	1	17	1	1.6669999694824219E+002	1.6500000000000000E+002	3.5236912965774536E-001	1.0395894758403301E-002	1.3177249431610107E+000	-3.1934362649917603E-001	-3.4219467639923096E+000	-7.8925214707851410E-002	-1.2058417320251465E+001	2.5017926692962646E+000	3.9697811007499695E-001
70	1	18	1	1.6669999694824219E+002	1.7500000000000000E+002	3.9636705070734024E-002	1.1702321935445070E-003	4.5299971103668213E-001	-1.0661578923463821E-001	-1.1619364023208618E+000	-2.6785898953676224E-002	-1.2543839454650879E+001	2.5183000564575195E+000	3.9677569270133972E-001
71	1	1	1	1.6713999938964844E+002	1.0000000000000000E+001	1.8303589820861816E+000	5.5935487151145935E-002	-9.0205287933349609E+000	-2.6437184810638428E+000	-1.9096188247203827E-001	-4.8914365470409393E-003	1.0839796066284180E+000	2.3846955597400665E-001	2.2504419088363647E-001
71	1	2	1	1.6713999938964844E+002	3.0000000000000000E+001	5.1222019195556641E+000	1.5618935227394104E-001	-7.6575331687927246E+000	-2.5524473190307617E+000	-1.6431263685226440E+000	-4.1831295937299728E-002	2.8607416152954102E+000	7.0521908998489380E-001	2.4880219995975494E-001
71	1	3	1	1.6713999938964844E+002	5.0000000000000000E+001	7.3893623352050781E+000	2.2458960115909576E-001	-5.2294735908508301E+000	-2.3756361007690430E+000	-4.1560359001159668E+000	-1.0467898845672607E-001	3.5445027351379395E+000	1.1425108909606934E+000	2.8752654790878296E-001
71	1	4	1	1.6713999938964844E+002	7.0000000000000000E+001	8.2170076370239258E+000	2.4910104274749756E-001	-2.2948002815246582E+000	-2.1237649917602539E+000	-7.0112147331237793E+000	-1.7434105277061462E-001	2.6842479705810547E+000	1.5341515541076660E+000	3.2941636443138123E-001
71	1	5	1	1.6713999938964844E+002	9.0000000000000000E+001	7.5551137924194336E+000	2.2892814874649048E-001	4.4251546263694763E-001	-1.8103479146957397E+000	-9.3177385330200195E+000	-2.2882126271724701E-001	2.3817664384841919E-001	1.8682898283004761E+000	3.6553031206130981E-001
71	1	6	1	1.6713999938964844E+002	1.1000000000000000E+002	5.7491664886474609E+000	1.7457495629787445E-001	2.3322179317474365E+000	-1.4499399662017822E+000	-1.0253198623657227E+001	-2.4920216202735901E-001	-3.3599479198455811E+000	2.1377418041229248E+000	3.9130473136901855E-001
