call_id	energy_index	angle_index	reaction	energy_mev	angle_cm_deg	a1_real	a1_imag	a2_real	a2_imag	a3_real	a3_imag	a4_real	a4_imag	dsg
3	1	8	1	1.4611999511718750E+002	1.5000000000000000E+002	2.5478428602218628E-001	-3.9743979868944734E-005	4.5368447899818420E-001	6.2765873968601227E-002	-1.0520906448364258E+000	1.4935666695237160E-004	-2.2704334259033203E+000	-2.3445957899093628E-001	4.3368251062929630E-003
3	1	9	1	1.4611999511718750E+002	1.7000000000000000E+002	2.9813427478075027E-002	-4.6398572521866299E-006	1.7065779864788055E-001	2.1140910685062408E-002	-3.7744137644767761E-001	5.3399264288600534E-005	-2.5726449489593506E+000	-2.4184772372245789E-001	4.5069023035466671E-003
4	1	1	1	1.4619999694824219E+002	1.0000000000000000E+001	3.4948340058326721E-001	-5.4965341405477375E-005	-1.4611653089523315E+000	2.2231973707675934E-001	-3.3302329480648041E-002	4.8425213208247442E-006	1.1042577773332596E-001	-1.9469937309622765E-002	1.5701762167736888E-003
4	1	2	1	1.4619999694824219E+002	3.0000000000000000E+001	9.7594273090362549E-001	-1.5317022916860878E-004	-1.2150022983551025E+000	2.1560649573802948E-001	-2.8516218066215515E-001	4.1329665691591799E-005	2.6737600564956665E-001	-5.7829562574625015E-002	1.7806934192776680E-003
4	1	3	1	1.4619999694824219E+002	5.0000000000000000E+001	1.4035859107971191E+000	-2.1940951410215348E-004	-7.8444480895996094E-001	2.0237247645854950E-001	-7.1531748771667480E-001	1.0303171438863501E-004	2.5062799453735352E-001	-9.4462886452674866E-002	2.1721431985497475E-003
4	1	4	1	1.4619999694824219E+002	7.0000000000000000E+001	1.5572413206100464E+000	-2.4210146511904895E-004	-2.7617743611335754E-001	1.8299999833106995E-001	-1.1952892541885376E+000	1.7071737966034561E-004	-4.9840379506349564E-004	-1.2826770544052124E-001	2.6933271437883377E-003
4	1	5	1	1.4619999694824219E+002	9.0000000000000000E+001	1.4317498207092285E+000	-2.2118375636637211E-004	1.8682964146137238E-001	1.5805539488792419E-001	-1.5748174190521240E+000	2.2275060473475605E-004	-4.7975897789001465E-001	-1.5821617841720581E-001	3.2787723466753960E-003
4	1	6	1	1.4619999694824219E+002	1.1000000000000000E+002	1.0923936367034912E+000	-1.6766825865488499E-004	4.9733451008796692E-001	1.2827777862548828E-001	-1.7217789888381958E+000	2.4115790438372642E-004	-1.1135822534561157E+000	-1.8338677287101746E-001	3.8541893009096384E-003
4	1	7	1	1.4619999694824219E+002	1.3000000000000000E+002	6.5676653385162354E-001	-1.0022105561802164E-004	5.9131699800491333E-001	9.4561651349067688E-002	-1.5589755773544312E+000	2.1645773085765541E-004	-1.7779840230941772E+000	-2.0299538969993591E-001	4.3464670889079571E-003
4	1	8	1	1.4619999694824219E+002	1.5000000000000000E+002	2.6272779703140259E-001	-3.9916343666845933E-005	4.6477913856506348E-001	5.7932049036026001E-002	-1.0876578092575073E+000	1.5003354928921908E-004	-2.3292608261108398E+000	-2.1642473340034485E-001	4.6989861875772476E-003
4	1	9	1	1.4619999694824219E+002	1.7000000000000000E+002	3.0742568895220757E-002	-4.6597401706094388E-006	1.7497695982456207E-001	1.9513100385665894E-002	-3.9021089673042297E-001	5.3638548706658185E-005	-2.6415541172027588E+000	-2.2324840724468231E-001	4.8804562538862228E-003
4	1	1	1	1.4619999694824219E+002	1.0000000000000000E+001	3.4948340058326721E-001	-5.4965341405477375E-005	-1.4611653089523315E+000	2.2231973707675934E-001	-3.3302329480648041E-002	4.8425213208247442E-006	1.1042577773332596E-001	-1.9469937309622765E-002	1.5701762167736888E-003
4	1	2	1	1.4619999694824219E+002	3.0000000000000000E+001	9.7594273090362549E-001	-1.5317022916860878E-004	-1.2150022983551025E+000	2.1560649573802948E-001	-2.8516218066215515E-001	4.1329665691591799E-005	2.6737600564956665E-001	-5.7829562574625015E-002	1.7806934192776680E-003
4	1	3	1	1.4619999694824219E+002	5.0000000000000000E+001	1.4035859107971191E+000	-2.1940951410215348E-004	-7.8444480895996094E-001	2.0237247645854950E-001	-7.1531748771667480E-001	1.0303171438863501E-004	2.5062799453735352E-001	-9.4462886452674866E-002	2.1721431985497475E-003
4	1	4	1	1.4619999694824219E+002	7.0000000000000000E+001	1.5572413206100464E+000	-2.4210146511904895E-004	-2.7617743611335754E-001	1.8299999833106995E-001	-1.1952892541885376E+000	1.7071737966034561E-004	-4.9840379506349564E-004	-1.2826770544052124E-001	2.6933271437883377E-003
4	1	5	1	1.4619999694824219E+002	9.0000000000000000E+001	1.4317498207092285E+000	-2.2118375636637211E-004	1.8682964146137238E-001	1.5805539488792419E-001	-1.5748174190521240E+000	2.2275060473475605E-004	-4.7975897789001465E-001	-1.5821617841720581E-001	3.2787723466753960E-003
4	1	6	1	1.4619999694824219E+002	1.1000000000000000E+002	1.0923936367034912E+000	-1.6766825865488499E-004	4.9733451008796692E-001	1.2827777862548828E-001	-1.7217789888381958E+000	2.4115790438372642E-004	-1.1135822534561157E+000	-1.8338677287101746E-001	3.8541893009096384E-003
4	1	7	1	1.4619999694824219E+002	1.3000000000000000E+002	6.5676653385162354E-001	-1.0022105561802164E-004	5.9131699800491333E-001	9.4561651349067688E-002	-1.5589755773544312E+000	2.1645773085765541E-004	-1.7779840230941772E+000	-2.0299538969993591E-001	4.3464670889079571E-003
4	1	8	1	1.4619999694824219E+002	1.5000000000000000E+002	2.6272779703140259E-001	-3.9916343666845933E-005	4.6477913856506348E-001	5.7932049036026001E-002	-1.0876578092575073E+000	1.5003354928921908E-004	-2.3292608261108398E+000	-2.1642473340034485E-001	4.6989861875772476E-003
4	1	9	1	1.4619999694824219E+002	1.7000000000000000E+002	3.0742568895220757E-002	-4.6597401706094388E-006	1.7497695982456207E-001	1.9513100385665894E-002	-3.9021089673042297E-001	5.3638548706658185E-005	-2.6415541172027588E+000	-2.2324840724468231E-001	4.8804562538862228E-003
5	1	1	1	1.4680000305175781E+002	8.4399995803833008E+000	3.5701885819435120E-001	-4.2313979065511376E-005	-1.8830069303512573E+000	8.4981858730316162E-002	-2.9061013832688332E-002	3.1501606372330571E-006	1.2779535353183746E-001	-6.2886755913496017E-003	2.9687767382711172E-003
5	1	2	1	1.4680000305175781E+002	2.4500000000000000E+001	9.8867315053939819E-001	-1.1696428555296734E-004	-1.6795042753219604E+000	8.3303488790988922E-002	-2.3703558743000031E-001	2.5623185138101690E-005	3.2766163349151611E-001	-1.8139444291591644E-002	3.1866892240941525E-003
5	1	3	1	1.4680000305175781E+002	4.0500000000000000E+001	1.4871780872344971E+000	-1.7533400387037545E-004	-1.3122016191482544E+000	8.0031208693981171E-002	-6.0692626237869263E-001	6.5265558077953756E-005	4.0849202871322632E-001	-2.9610948637127876E-002	3.5937973298132420E-003
5	1	4	1	1.4680000305175781E+002	5.6500000000000000E+001	1.7940199375152588E+000	-2.1049432689324021E-004	-8.3907985687255859E-001	7.5215704739093781E-002	-1.0690306425094604E+000	1.1412262392695993E-004	3.1792160868644714E-001	-4.0532797574996948E-002	4.1539613157510757E-003
