call_id	energy_index	family	branch	legacy_l	form_selector	energy_mev	multipole_real	multipole_imag
36	1	6	1	5	25	1.5610000610351562E+002	-7.3225237429141998E-008	-4.3006603730718143E-014
36	1	6	1	6	3	1.5610000610351562E+002	-5.5297277867794037E-010	-4.4096290388597560E-017
36	1	6	2	1	0	1.5610000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
36	1	6	2	2	134	1.5610000610351562E+002	-3.9492404460906982E-001	-5.6450162082910538E-004
36	1	6	2	3	134	1.5610000610351562E+002	3.5602562129497528E-003	3.4580227747937897E-007
36	1	6	2	4	134	1.5610000610351562E+002	-3.3590011298656464E-005	-1.0921830280452571E-011
36	1	6	2	5	25	1.5610000610351562E+002	-4.9330992624163628E-008	4.9307549688203112E-014
36	1	6	2	6	3	1.5610000610351562E+002	-3.7471181713044643E-010	1.8785935109930526E-017
37	1	1	1	1	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	1	1	2	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	1	1	3	134	1.5638000488281250E+002	-6.2641382217407227E-002	-2.5582414764357964E-006
37	1	1	1	4	134	1.5638000488281250E+002	3.1600445508956909E-003	-1.1982694003709327E-010
37	1	1	1	5	25	1.5638000488281250E+002	5.4715201258659363E-007	-5.6864555382160620E-013
37	1	1	1	6	25	1.5638000488281250E+002	3.8417056202888489E-009	-4.7717553437967727E-016
37	1	1	2	1	135	1.5638000488281250E+002	1.1812343597412109E+002	5.8668375015258789E-001
37	1	1	2	2	21	1.5638000488281250E+002	-5.4414272308349609E-003	-5.3399130702018738E-003
37	1	1	2	3	134	1.5638000488281250E+002	-1.1667549610137939E-002	5.5376455065925256E-007
37	1	1	2	4	134	1.5638000488281250E+002	-1.0566413402557373E-004	-5.4107557323490596E-010
37	1	1	2	5	25	1.5638000488281250E+002	-8.1490725278854370E-009	9.6292101354165938E-014
37	1	1	2	6	25	1.5638000488281250E+002	1.1059455573558807E-009	-4.5059749337940944E-016
37	1	2	1	1	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	2	1	2	134	1.5638000488281250E+002	1.2871575355529785E+000	2.4484803434461355E-003
37	1	2	1	3	134	1.5638000488281250E+002	2.1132446825504303E-002	-2.1216189338701952E-007
37	1	2	1	4	134	1.5638000488281250E+002	2.0878291688859463E-003	-1.4371488374353980E-011
37	1	2	1	5	25	1.5638000488281250E+002	9.4214919954538345E-007	-7.6005973975550034E-014
37	1	2	1	6	25	1.5638000488281250E+002	1.9063008949160576E-009	-5.8034508703242691E-017
37	1	2	2	1	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	2	2	2	21	1.5638000488281250E+002	2.6093301773071289E+000	2.2945400327444077E-002
37	1	2	2	3	134	1.5638000488281250E+002	1.9228197634220123E-002	-2.4565886747041077E-007
37	1	2	2	4	124	1.5638000488281250E+002	-5.5211442522704601E-003	3.0317012789105036E-011
37	1	2	2	5	25	1.5638000488281250E+002	1.5640398487448692E-007	-2.5279185008838558E-014
37	1	2	2	6	25	1.5638000488281250E+002	1.0913936421275139E-009	9.6112543974814741E-017
37	1	3	1	1	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	3	1	2	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	3	1	3	134	1.5638000488281250E+002	-1.4630419015884399E-001	1.0154416258956189E-006
37	1	3	1	4	134	1.5638000488281250E+002	4.1876360774040222E-003	6.3245392256661148E-010
37	1	3	1	5	25	1.5638000488281250E+002	1.8230639398097992E-007	4.1490544181767286E-013
37	1	3	1	6	25	1.5638000488281250E+002	1.2805685400962830E-009	5.0121358826892546E-016
