call_id	energy_index	angle_index	reaction	occurrence	exact_duplicate
60	1	14	1	2	yes
60	1	15	1	2	yes
60	1	16	1	2	yes
60	1	17	1	2	yes
60	1	18	1	2	yes
60	1	19	1	2	yes
60	1	20	1	2	yes
61	1	1	1	2	yes
61	1	2	1	2	yes
61	1	3	1	2	yes
61	1	4	1	2	yes
61	1	5	1	2	yes
61	1	6	1	2	yes
61	1	7	1	2	yes
61	1	8	1	2	yes
61	1	9	1	2	yes
62	1	1	1	2	yes
62	1	2	1	2	yes
62	1	3	1	2	yes
62	1	4	1	2	yes
62	1	5	1	2	yes
62	1	6	1	2	yes
62	1	7	1	2	yes
62	1	8	1	2	yes
62	1	9	1	2	yes
63	1	1	1	2	yes
63	1	2	1	2	yes
63	1	3	1	2	yes
63	1	4	1	2	yes
63	1	5	1	2	yes
63	1	6	1	2	yes
63	1	7	1	2	yes
63	1	8	1	2	yes
63	1	9	1	2	yes
64	1	1	1	2	yes
64	1	2	1	2	yes
64	1	3	1	2	yes
64	1	4	1	2	yes
64	1	5	1	2	yes
64	1	6	1	2	yes
64	1	7	1	2	yes
64	1	8	1	2	yes
64	1	9	1	2	yes
64	1	10	1	2	yes
64	1	11	1	2	yes
64	1	12	1	2	yes
64	1	13	1	2	yes
64	1	14	1	2	yes
64	1	15	1	2	yes
64	1	16	1	2	yes
64	1	17	1	2	yes
64	1	18	1	2	yes
65	1	1	1	2	yes
65	1	2	1	2	yes
65	1	3	1	2	yes
65	1	4	1	2	yes
65	1	5	1	2	yes
65	1	6	1	2	yes
65	1	7	1	2	yes
65	1	8	1	2	yes
65	1	9	1	2	yes
66	1	1	1	2	yes
66	1	2	1	2	yes
66	1	3	1	2	yes
66	1	4	1	2	yes
66	1	5	1	2	yes
66	1	6	1	2	yes
66	1	7	1	2	yes
66	1	8	1	2	yes
66	1	9	1	2	yes
67	1	1	1	2	yes
67	1	2	1	2	yes
67	1	3	1	2	yes
67	1	4	1	2	yes
67	1	5	1	2	yes
67	1	6	1	2	yes
67	1	7	1	2	yes
67	1	8	1	2	yes
67	1	9	1	2	yes
67	1	10	1	2	yes
67	1	11	1	2	yes
67	1	12	1	2	yes
67	1	13	1	2	yes
67	1	14	1	2	yes
67	1	15	1	2	yes
67	1	16	1	2	yes
67	1	17	1	2	yes
67	1	18	1	2	yes
67	1	19	1	2	yes
67	1	20	1	2	yes
68	1	1	1	2	yes
68	1	2	1	2	yes
68	1	3	1	2	yes
68	1	4	1	2	yes
68	1	5	1	2	yes
68	1	6	1	2	yes
68	1	7	1	2	yes
69	1	1	1	2	yes
69	1	2	1	2	yes
69	1	3	1	2	yes
69	1	4	1	2	yes
69	1	5	1	2	yes
69	1	6	1	2	yes
69	1	7	1	2	yes
69	1	8	1	2	yes
69	1	9	1	2	yes
70	1	1	1	2	yes
70	1	2	1	2	yes
70	1	3	1	2	yes
70	1	4	1	2	yes
70	1	5	1	2	yes
70	1	6	1	2	yes
70	1	7	1	2	yes
70	1	8	1	2	yes
70	1	9	1	2	yes
70	1	10	1	2	yes
70	1	11	1	2	yes
70	1	12	1	2	yes
70	1	13	1	2	yes
70	1	14	1	2	yes
70	1	15	1	2	yes
70	1	16	1	2	yes
70	1	17	1	2	yes
70	1	18	1	2	yes
71	1	1	1	2	yes
71	1	2	1	2	yes
71	1	3	1	2	yes
71	1	4	1	2	yes
71	1	5	1	2	yes
71	1	6	1	2	yes
71	1	7	1	2	yes
71	1	8	1	2	yes
71	1	9	1	2	yes
72	1	1	1	2	yes
72	1	2	1	2	yes
72	1	3	1	2	yes
72	1	4	1	2	yes
72	1	5	1	2	yes
72	1	6	1	2	yes
72	1	7	1	2	yes
72	1	8	1	2	yes
72	1	9	1	2	yes
73	1	1	1	2	yes
73	1	2	1	2	yes
73	1	3	1	2	yes
73	1	4	1	2	yes
73	1	5	1	2	yes
73	1	6	1	2	yes
73	1	7	1	2	yes
73	1	8	1	2	yes
73	1	9	1	2	yes
73	1	10	1	2	yes
73	1	11	1	2	yes
73	1	12	1	2	yes
73	1	13	1	2	yes
73	1	14	1	2	yes
73	1	15	1	2	yes
73	1	16	1	2	yes
73	1	17	1	2	yes
73	1	18	1	2	yes
73	1	19	1	2	yes
73	1	20	1	2	yes
74	1	1	1	2	yes
74	1	2	1	2	yes
74	1	3	1	2	yes
74	1	4	1	2	yes
74	1	5	1	2	yes
74	1	6	1	2	yes
74	1	7	1	2	yes
74	1	8	1	2	yes
74	1	9	1	2	yes
75	1	1	1	2	yes
75	1	2	1	2	yes
75	1	3	1	2	yes
75	1	4	1	2	yes
75	1	5	1	2	yes
75	1	6	1	2	yes
75	1	7	1	2	yes
75	1	8	1	2	yes
75	1	9	1	2	yes
75	1	10	1	2	yes
75	1	11	1	2	yes
75	1	12	1	2	yes
75	1	13	1	2	yes
75	1	14	1	2	yes
75	1	15	1	2	yes
75	1	16	1	2	yes
75	1	17	1	2	yes
75	1	18	1	2	yes
76	1	1	1	2	yes
76	1	2	1	2	yes
76	1	3	1	2	yes
76	1	4	1	2	yes
76	1	5	1	2	yes
76	1	6	1	2	yes
76	1	7	1	2	yes
76	1	8	1	2	yes
76	1	9	1	2	yes
77	1	1	1	2	yes
77	1	2	1	2	yes
77	1	3	1	2	yes
77	1	4	1	2	yes
77	1	5	1	2	yes
77	1	6	1	2	yes
77	1	7	1	2	yes
77	1	8	1	2	yes
77	1	9	1	2	yes
78	1	1	1	2	yes
78	1	2	1	2	yes
78	1	3	1	2	yes
78	1	4	1	2	yes
78	1	5	1	2	yes
78	1	6	1	2	yes
78	1	7	1	2	yes
78	1	8	1	2	yes
78	1	9	1	2	yes
78	1	10	1	2	yes
78	1	11	1	2	yes
78	1	12	1	2	yes
78	1	13	1	2	yes
78	1	14	1	2	yes
78	1	15	1	2	yes
78	1	16	1	2	yes
78	1	17	1	2	yes
78	1	18	1	2	yes
78	1	19	1	2	yes
78	1	20	1	2	yes
79	1	1	1	2	yes
79	1	2	1	2	yes
79	1	3	1	2	yes
79	1	4	1	2	yes
79	1	5	1	2	yes
79	1	6	1	2	yes
79	1	7	1	2	yes
79	1	8	1	2	yes
79	1	9	1	2	yes
80	1	1	1	2	yes
80	1	2	1	2	yes
80	1	3	1	2	yes
80	1	4	1	2	yes
80	1	5	1	2	yes
80	1	6	1	2	yes
80	1	7	1	2	yes
80	1	8	1	2	yes
80	1	9	1	2	yes
81	1	1	1	2	yes
81	1	2	1	2	yes
81	1	3	1	2	yes
81	1	4	1	2	yes
81	1	5	1	2	yes
81	1	6	1	2	yes
81	1	7	1	2	yes
81	1	8	1	2	yes
81	1	9	1	2	yes
82	1	1	1	2	yes
82	1	2	1	2	yes
82	1	3	1	2	yes
82	1	4	1	2	yes
82	1	5	1	2	yes
82	1	6	1	2	yes
82	1	7	1	2	yes
82	1	8	1	2	yes
82	1	9	1	2	yes
82	1	10	1	2	yes
82	1	11	1	2	yes
82	1	12	1	2	yes
82	1	13	1	2	yes
82	1	14	1	2	yes
82	1	15	1	2	yes
82	1	16	1	2	yes
82	1	17	1	2	yes
82	1	18	1	2	yes
82	1	19	1	2	yes
82	1	20	1	2	yes
83	1	1	1	2	yes
83	1	2	1	2	yes
83	1	3	1	2	yes
83	1	4	1	2	yes
83	1	5	1	2	yes
83	1	6	1	2	yes
83	1	7	1	2	yes
83	1	8	1	2	yes
83	1	9	1	2	yes
84	1	1	1	2	yes
84	1	2	1	2	yes
84	1	3	1	2	yes
84	1	4	1	2	yes
84	1	5	1	2	yes
84	1	6	1	2	yes
84	1	7	1	2	yes
84	1	8	1	2	yes
84	1	9	1	2	yes
85	1	1	1	2	yes
85	1	2	1	2	yes
85	1	3	1	2	yes
85	1	4	1	2	yes
85	1	5	1	2	yes
85	1	6	1	2	yes
85	1	7	1	2	yes
85	1	8	1	2	yes
85	1	9	1	2	yes
86	1	1	1	2	yes
86	1	2	1	2	yes
86	1	3	1	2	yes
86	1	4	1	2	yes
86	1	5	1	2	yes
86	1	6	1	2	yes
86	1	7	1	2	yes
86	1	8	1	2	yes
86	1	9	1	2	yes
86	1	10	1	2	yes
86	1	11	1	2	yes
86	1	12	1	2	yes
86	1	13	1	2	yes
86	1	14	1	2	yes
86	1	15	1	2	yes
86	1	16	1	2	yes
86	1	17	1	2	yes
86	1	18	1	2	yes
86	1	19	1	2	yes
86	1	20	1	2	yes
87	1	1	1	2	yes
87	1	2	1	2	yes
87	1	3	1	2	yes
87	1	4	1	2	yes
87	1	5	1	2	yes
87	1	6	1	2	yes
87	1	7	1	2	yes
87	1	8	1	2	yes
87	1	9	1	2	yes
88	1	1	1	2	yes
88	1	2	1	2	yes
88	1	3	1	2	yes
88	1	4	1	2	yes
88	1	5	1	2	yes
88	1	6	1	2	yes
88	1	7	1	2	yes
88	1	8	1	2	yes
88	1	9	1	2	yes
89	1	1	1	2	yes
89	1	2	1	2	yes
89	1	3	1	2	yes
89	1	4	1	2	yes
89	1	5	1	2	yes
89	1	6	1	2	yes
89	1	7	1	2	yes
89	1	8	1	2	yes
89	1	9	1	2	yes
90	1	1	1	2	yes
90	1	2	1	2	yes
90	1	3	1	2	yes
90	1	4	1	2	yes
90	1	5	1	2	yes
90	1	6	1	2	yes
90	1	7	1	2	yes
90	1	8	1	2	yes
90	1	9	1	2	yes
90	1	10	1	2	yes
90	1	11	1	2	yes
90	1	12	1	2	yes
90	1	13	1	2	yes
90	1	14	1	2	yes
90	1	15	1	2	yes
90	1	16	1	2	yes
90	1	17	1	2	yes
90	1	18	1	2	yes
90	1	19	1	2	yes
90	1	20	1	2	yes
