boundary	row	category	field	typed	forced_legacy
go5	519	value	dchi	0.345E-01	0.344E-01
go5	584	value	dchi	-0.213E+00	-0.214E+00
go5	594	value	dchi	-0.657E-02	-0.653E-02
go5	621	value	predicted_obs	0.18989E+00	0.18990E+00
go5	632	value	predicted_obs	0.24071E+00	0.24070E+00
go5	664	value	dchi	-0.212E-01	-0.211E-01
go5	668	value	predicted_obs	0.28485E+00	0.28486E+00
go5	672	value	predicted_obs	0.17756E+00	0.17755E+00
go5	677	value	predicted_obs	0.28814E+00	0.28815E+00
go5	678	value	predicted_obs	0.29308E+00	0.29309E+00
go5	681	value	dchi	-0.760E+00	-0.761E+00
go5	689	value	predicted_obs	0.17285E+00	0.17284E+00
go5	692	value	predicted_obs	0.21034E+00	0.21033E+00
go5	703	value	predicted_obs	0.29206E+00	0.29207E+00
go5	744	value	dchi	-0.493E+00	-0.492E+00
go5	745	value	predicted_obs	0.30550E+00	0.30551E+00
go5	768	value	predicted_obs	0.34632E+00	0.34631E+00
go5	768	value	dchi	-0.528E-01	-0.529E-01
go5	769	value	dchi	0.791E-01	0.790E-01
go5	790	value	dchi	-0.950E+00	-0.949E+00
go5	800	value	predicted_obs	0.23387E+00	0.23386E+00
go5	801	value	dchi	-0.116E+01	-0.117E+01
go5	807	value	predicted_obs	0.38571E+00	0.38572E+00
go5	826	value	predicted_obs	0.22504E+00	0.22505E+00
go5	832	value	predicted_obs	0.40548E+00	0.40547E+00
go5	850	value	predicted_obs	0.35486E+00	0.35487E+00
go5	865	value	predicted_obs	0.27417E+00	0.27416E+00
go5	867	value	predicted_obs	0.36471E+00	0.36470E+00
go5	870	value	predicted_obs	0.44743E+00	0.44744E+00
go5	876	value	predicted_obs	0.28625E+00	0.28624E+00
go5	880	value	predicted_obs	0.37867E+00	0.37866E+00
go5	880	value	dchi	0.215E+00	0.214E+00
go5	886	value	dchi	-0.631E-02	-0.621E-02
go5	887	value	predicted_obs	0.45471E+00	0.45472E+00
go5	897	value	predicted_obs	0.47341E+00	0.47340E+00
go5	901	value	dchi	0.667E-01	0.666E-01
go5	906	value	dchi	0.561E+00	0.562E+00
go5	952	value	dchi	0.184E+01	0.185E+01
go5	983	value	predicted_obs	0.61438E+00	0.61439E+00
go5	986	value	predicted_obs	0.39223E+00	0.39222E+00
go5	992	value	predicted_obs	0.64365E+00	0.64366E+00
go5	1005	value	predicted_obs	0.45561E+00	0.45562E+00
go5	1008	value	dchi	-0.780E+00	-0.779E+00
go5	1020	value	predicted_obs	0.68301E+00	0.68300E+00
go5	1031	value	predicted_obs	0.69630E+00	0.69631E+00
go5	1051	value	predicted_obs	0.48014E+00	0.48015E+00
go5	1058	value	predicted_obs	0.69237E+00	0.69238E+00
go5	1071	value	predicted_obs	0.48681E+00	0.48682E+00
go5	1074	value	predicted_obs	0.74142E+00	0.74143E+00
go5	1077	value	dchi	0.370E-01	0.369E-01
go5	1089	value	predicted_obs	0.52730E+00	0.52729E+00
go5	1101	value	predicted_obs	0.84531E+00	0.84532E+00
go5	1109	value	dchi	0.938E-01	0.939E-01
go5	1111	value	predicted_obs	0.73365E+00	0.73366E+00
go5	1121	value	predicted_obs	0.87507E+00	0.87506E+00
